ts,x,y,z
2025-09-28T04:48:51.242000Z,-0.488,0.732,-0.366
2025-09-28T04:48:51.666000Z,-0.244,0.854,-0.427
2025-09-28T04:48:52.049000Z,0.183,0.977,-0.366
2025-09-28T04:48:53.086000Z,0.0,1.587,-0.305
2025-09-28T04:48:53.136000Z,-0.916,0.916,-0.488
2025-09-28T04:48:54.112000Z,-0.671,0.854,-0.366
2025-09-28T04:48:54.152000Z,-1.831,-1.038,-0.122
2025-09-28T04:48:55.138000Z,1.343,2.258,-0.122
2025-09-28T04:48:55.196000Z,-0.122,4.761,0.427
2025-09-28T04:48:55.936000Z,10.681,4.028,-0.732
2025-09-28T04:48:56.357000Z,0.427,1.587,0.366
2025-09-28T04:48:56.766000Z,0.671,0.732,-0.183
2025-09-28T04:48:57.178000Z,0.122,0.854,-0.427
2025-09-28T04:48:57.986000Z,-1.831,0.366,-0.366
2025-09-28T04:48:58.402000Z,-1.099,-0.061,-0.305
2025-09-28T04:48:58.821000Z,1.404,1.282,-0.366
2025-09-28T04:48:59.212000Z,0.244,0.854,-0.366
2025-09-28T04:49:00.034000Z,-0.793,0.977,-0.427
2025-09-28T04:49:00.455000Z,0.0,2.014,-0.305
2025-09-28T04:49:01.070000Z,-0.61,0.549,-0.366
2025-09-28T04:49:01.469000Z,-0.366,0.732,-0.366
2025-09-28T04:49:01.874000Z,-0.977,0.977,-0.183
2025-09-28T04:49:02.300000Z,-0.977,0.732,-0.366
2025-09-28T04:49:02.696000Z,-1.221,1.16,-0.366
2025-09-28T04:49:03.714000Z,-0.854,0.793,-0.366
2025-09-28T04:49:03.777000Z,-1.16,1.221,-0.305
2025-09-28T04:49:04.763000Z,1.709,1.16,-0.61
2025-09-28T04:49:04.817000Z,0.183,0.854,-0.549
2025-09-28T04:49:05.770000Z,0.122,1.343,-0.366
2025-09-28T04:49:05.836000Z,-0.427,1.16,-0.366
2025-09-28T04:49:06.675000Z,0.732,3.296,-0.61
2025-09-28T04:49:07.313000Z,-0.061,1.221,-0.366
2025-09-28T04:49:28.514000Z,-0.244,0.793,-0.427
2025-09-28T04:49:29.670000Z,-0.061,0.854,-0.366
2025-09-28T04:49:30.513000Z,-0.183,0.916,-0.366
2025-09-28T04:49:31.151000Z,-0.488,1.038,-0.427
2025-09-28T04:49:31.812000Z,0.183,1.038,-0.366
2025-09-28T04:49:32.483000Z,-0.244,0.916,-0.366
2025-09-28T04:49:33.234000Z,-0.549,0.793,-0.366
2025-09-28T04:49:33.883000Z,0.122,1.038,-0.366
2025-09-28T04:51:11.944000Z,0.0,0.671,-0.427
2025-09-28T04:51:12.589000Z,0.122,1.099,-0.366
2025-09-28T04:51:12.918000Z,-0.732,0.854,-0.366
2025-09-28T04:51:13.248000Z,-0.671,0.854,-0.427
2025-09-28T04:51:13.586000Z,-0.305,0.732,-0.427
2025-09-28T04:51:13.969000Z,-0.122,0.854,-0.427
2025-09-28T04:51:14.387000Z,-0.488,0.549,-0.427
2025-09-28T04:51:15.423000Z,-0.427,0.916,-0.366
2025-09-28T04:51:15.781000Z,0.183,1.038,-0.427
2025-09-28T04:51:16.591000Z,-0.183,0.854,-0.366
2025-09-28T04:51:16.908000Z,0.244,1.465,-0.183
2025-09-28T04:51:17.231000Z,-0.916,1.709,-0.305
2025-09-28T04:51:17.607000Z,1.16,2.686,-0.427
2025-09-28T04:51:18.506000Z,-0.549,2.136,-0.122
2025-09-28T04:51:18.832000Z,0.0,1.038,-0.488
2025-09-28T04:51:19.288000Z,-0.488,0.427,-0.549
2025-09-28T04:51:19.783000Z,-1.526,1.099,-0.305
2025-09-28T04:51:20.422000Z,-1.221,0.977,-0.244
2025-09-28T04:51:20.956000Z,0.244,0.0,-0.61
2025-09-28T04:51:21.273000Z,-0.671,0.061,-0.549
2025-09-28T04:51:21.967000Z,-1.099,1.038,-0.366
2025-09-28T04:51:22.276000Z,0.122,0.916,-0.427
2025-09-28T04:51:22.991000Z,-1.099,0.671,-0.488
2025-09-28T04:51:23.305000Z,0.671,0.732,-0.488
2025-09-28T04:51:24.027000Z,0.061,0.793,-0.366
2025-09-28T04:51:24.366000Z,0.183,0.977,-0.427
2025-09-28T04:51:24.832000Z,-0.183,0.854,-0.427
2025-09-28T04:51:25.232000Z,-1.038,1.526,-0.366
2025-09-28T04:51:25.651000Z,-0.61,0.793,-0.366
2025-09-28T04:51:26.057000Z,0.122,1.282,-0.427
2025-09-28T04:51:26.988000Z,-0.61,2.075,-0.244
2025-09-28T04:51:27.536000Z,-1.16,0.732,-0.488
2025-09-28T04:51:27.897000Z,-1.404,0.244,-0.549
2025-09-28T04:51:28.529000Z,0.305,0.305,-0.488
2025-09-28T04:51:28.902000Z,-1.282,0.61,-0.305
2025-09-28T04:51:29.545000Z,0.122,1.282,-0.244
2025-09-28T04:51:29.856000Z,-0.244,0.488,-0.366
2025-09-28T04:51:30.582000Z,0.244,1.099,-0.305
2025-09-28T04:51:30.916000Z,-0.916,1.221,-0.305
2025-09-28T04:51:31.625000Z,-0.305,0.488,-0.427
2025-09-28T04:51:31.945000Z,-0.488,1.16,-0.427
2025-09-28T04:51:32.266000Z,-0.549,0.671,-0.427
2025-09-28T04:51:32.819000Z,0.366,1.282,-0.305
2025-09-28T04:51:33.244000Z,2.991,2.258,-0.061
2025-09-28T04:51:33.642000Z,0.183,0.732,-0.366
2025-09-28T04:51:34.052000Z,0.0,0.793,-0.366
2025-09-28T04:51:35.143000Z,-0.488,0.61,-0.488
2025-09-28T04:51:35.464000Z,0.305,1.221,-0.305
2025-09-28T04:51:35.790000Z,-1.099,0.671,-0.427
2025-09-28T04:51:36.296000Z,-0.793,0.732,-0.427
2025-09-28T04:51:36.713000Z,0.122,1.038,-0.427
2025-09-28T04:51:37.137000Z,0.0,0.183,-0.549
2025-09-28T04:51:38.199000Z,0.549,0.977,-0.427
2025-09-28T04:51:38.518000Z,-0.061,0.732,-0.427
2025-09-28T04:51:38.867000Z,1.099,1.343,-0.183
2025-09-28T04:51:39.462000Z,-0.549,0.732,-0.366
2025-09-28T04:51:40.104000Z,-0.244,0.854,-0.427
2025-09-28T04:51:40.755000Z,0.244,1.099,-0.305
2025-09-28T04:51:41.211000Z,0.244,0.977,-0.427
2025-09-28T04:51:41.542000Z,0.244,0.732,-0.488
2025-09-28T04:51:41.888000Z,-0.854,1.16,-0.366
2025-09-28T04:51:42.677000Z,-0.122,0.916,-0.427
2025-09-28T04:51:43.067000Z,0.122,1.16,-0.305
2025-09-28T04:51:43.384000Z,-0.793,0.671,-0.427
2025-09-28T04:51:43.785000Z,-0.488,0.916,-0.427
2025-09-28T04:51:44.297000Z,-0.427,0.854,-0.305
2025-09-28T04:51:44.690000Z,-0.671,1.038,-0.366
2025-09-28T04:51:45.726000Z,-0.427,0.854,-0.427
2025-09-28T04:51:46.043000Z,0.488,0.977,-0.305
2025-09-28T04:51:46.530000Z,0.732,1.648,-0.305
2025-09-28T04:51:46.948000Z,0.0,1.282,-0.366
2025-09-28T04:51:47.362000Z,-0.671,0.977,-0.549
2025-09-28T04:51:47.762000Z,0.0,0.183,-0.427
2025-09-28T04:51:48.814000Z,-0.244,0.977,-0.488
2025-09-28T04:51:49.221000Z,0.671,2.258,-0.122
2025-09-28T04:51:49.604000Z,0.244,1.099,-0.366
2025-09-28T04:51:50.030000Z,-1.343,0.488,-0.427
2025-09-28T04:51:50.431000Z,-0.366,1.282,-0.305
2025-09-28T04:51:50.839000Z,0.061,1.038,-0.366
2025-09-28T04:51:51.241000Z,0.732,1.343,-0.183
2025-09-28T04:51:52.272000Z,0.0,0.793,-0.427
2025-09-28T04:51:52.595000Z,-1.343,1.16,-0.488
2025-09-28T04:51:53.289000Z,-0.488,0.793,-0.366
2025-09-28T04:51:53.624000Z,-0.061,0.793,-0.366
2025-09-28T04:51:54.348000Z,-0.244,0.183,-0.61
2025-09-28T04:51:54.697000Z,-1.038,0.305,-0.488
2025-09-28T04:51:55.156000Z,-1.465,0.61,-0.305
2025-09-28T04:51:55.556000Z,0.427,1.282,-0.305
2025-09-28T04:51:55.962000Z,-1.526,0.305,-0.488
2025-09-28T04:51:56.371000Z,-0.61,0.61,-0.305
2025-09-28T04:51:57.250000Z,-1.038,0.488,-0.549
2025-09-28T04:51:57.874000Z,0.488,0.122,-0.61
2025-09-28T04:51:58.185000Z,0.671,0.61,-0.549
2025-09-28T04:51:58.525000Z,0.671,2.502,-0.488
2025-09-28T04:51:58.852000Z,-0.854,1.038,-0.244
2025-09-28T04:51:59.850000Z,-0.488,0.854,-0.549
2025-09-28T04:52:00.166000Z,-1.038,1.099,-0.427
2025-09-28T04:52:00.897000Z,0.549,0.732,-0.366
2025-09-28T04:52:01.228000Z,-0.244,1.099,-0.366
2025-09-28T04:52:01.899000Z,-0.61,-1.099,-0.122
2025-09-28T04:52:02.215000Z,-0.732,1.038,-0.488
2025-09-28T04:52:02.755000Z,0.366,1.282,-0.427
2025-09-28T04:52:03.135000Z,-0.061,1.16,-0.488
2025-09-28T04:52:03.529000Z,-0.549,0.977,-0.366
2025-09-28T04:52:03.947000Z,-0.854,0.427,-0.549
2025-09-28T04:52:04.606000Z,0.916,1.709,-0.305
2025-09-28T04:52:05.172000Z,-0.488,0.916,-0.427
2025-09-28T04:52:05.584000Z,0.122,0.854,-0.427
2025-09-28T04:52:05.999000Z,-0.427,0.793,-0.427
2025-09-28T04:52:06.406000Z,-0.427,0.916,-0.427
2025-09-28T04:52:07.449000Z,-0.488,1.038,-0.427
2025-09-28T04:52:07.788000Z,0.061,0.854,-0.427
2025-09-28T04:52:08.583000Z,0.122,0.916,-0.427
2025-09-28T04:52:08.921000Z,-0.61,0.854,-0.366
2025-09-28T04:52:09.254000Z,-0.061,1.038,-0.244
2025-09-28T04:52:09.588000Z,-0.305,0.732,-0.549
2025-09-28T04:52:10.294000Z,-0.122,0.854,-0.427
2025-09-28T04:52:10.726000Z,0.122,0.793,-0.427
2025-09-28T04:52:11.109000Z,-0.366,1.038,-0.366
2025-09-28T04:52:11.525000Z,0.488,1.221,-0.427
2025-09-28T04:52:12.421000Z,-0.671,0.854,-0.549
2025-09-28T04:52:12.952000Z,-1.16,1.099,-0.305
2025-09-28T04:52:13.279000Z,0.183,0.732,-0.305
2025-09-28T04:52:14.006000Z,0.183,1.282,-0.244
2025-09-28T04:52:14.341000Z,-0.061,1.404,-0.244
2025-09-28T04:52:15.009000Z,-0.793,0.916,-0.366
2025-09-28T04:52:15.325000Z,-0.244,0.854,-0.488
2025-09-28T04:52:16.117000Z,0.488,1.404,-0.305
2025-09-28T04:52:16.601000Z,-0.061,0.061,-0.488
2025-09-28T04:52:16.929000Z,0.366,1.404,-0.305
2025-09-28T04:52:17.267000Z,-2.991,0.977,0.061
2025-09-28T04:52:18.187000Z,-0.549,0.793,-0.366
2025-09-28T04:52:18.499000Z,0.916,1.16,-0.427
2025-09-28T04:52:18.850000Z,1.038,0.793,-0.488
2025-09-28T04:52:19.158000Z,-0.916,0.61,-0.427
2025-09-28T04:52:19.723000Z,-1.526,0.793,-0.366
2025-09-28T04:52:20.146000Z,-0.305,1.099,-0.305
2025-09-28T04:52:20.528000Z,0.244,1.099,-0.366
2025-09-28T04:52:21.565000Z,-0.183,0.977,-0.366
2025-09-28T04:52:21.883000Z,-0.549,0.854,-0.366
2025-09-28T04:52:22.577000Z,-0.427,1.404,-0.244
2025-09-28T04:52:22.897000Z,-0.061,0.854,-0.488
2025-09-28T04:52:23.618000Z,0.183,1.709,-0.305
2025-09-28T04:52:23.988000Z,-0.793,0.916,-0.366
2025-09-28T04:52:24.623000Z,-0.671,1.038,-0.549
2025-09-28T04:52:24.991000Z,-0.488,0.854,-0.366
2025-09-28T04:52:25.674000Z,-0.061,1.099,-0.427
2025-09-28T04:52:26.015000Z,-0.061,0.854,-0.366
2025-09-28T04:52:26.471000Z,0.183,0.427,-0.488
2025-09-28T04:52:26.897000Z,0.305,0.366,-0.488
2025-09-28T04:52:27.304000Z,-0.427,0.977,-0.305
