sample,timestamp,gyro_x,gyro_y,gyro_z
45000,2025-09-16T15:10:19.075,-0.61,0.79,-0.43
45001,2025-09-16T15:10:19.085,-0.49,0.79,-0.37
45002,2025-09-16T15:10:19.094,-0.43,0.79,-0.43
45003,2025-09-16T15:10:19.104,-0.37,0.79,-0.37
45004,2025-09-16T15:10:19.114,-0.24,0.85,-0.37
45005,2025-09-16T15:10:19.124,-0.06,0.85,-0.43
45006,2025-09-16T15:10:19.133,-0.06,0.85,-0.37
45007,2025-09-16T15:10:19.143,-0.06,0.85,-0.37
45008,2025-09-16T15:10:19.153,-0.06,0.85,-0.37
45009,2025-09-16T15:10:19.163,-0.18,0.79,-0.43
45010,2025-09-16T15:10:19.173,-0.24,0.79,-0.37
45011,2025-09-16T15:10:19.182,-0.31,0.79,-0.37
45012,2025-09-16T15:10:19.192,-0.37,0.79,-0.37
45013,2025-09-16T15:10:19.202,-0.49,0.85,-0.37
45014,2025-09-16T15:10:19.211,-0.55,0.85,-0.37
45015,2025-09-16T15:10:19.221,-0.61,0.79,-0.43
45016,2025-09-16T15:10:19.231,-0.55,0.79,-0.37
45017,2025-09-16T15:10:19.241,-0.49,0.85,-0.37
45018,2025-09-16T15:10:19.251,-0.43,0.79,-0.43
45019,2025-09-16T15:10:19.260,-0.37,0.79,-0.37
45020,2025-09-16T15:10:19.270,-0.37,0.79,-0.43
45021,2025-09-16T15:10:19.280,-0.31,0.79,-0.37
45022,2025-09-16T15:10:19.290,-0.24,0.79,-0.37
45023,2025-09-16T15:10:19.300,-0.24,0.85,-0.43
45024,2025-09-16T15:10:19.309,-0.24,0.79,-0.43
45025,2025-09-16T15:10:19.320,-0.24,0.85,-0.37
45026,2025-09-16T15:10:19.329,-0.31,0.85,-0.37
45027,2025-09-16T15:10:19.339,-0.24,0.85,-0.43
45028,2025-09-16T15:10:19.349,-0.31,0.92,-0.43
45029,2025-09-16T15:10:19.359,-0.31,0.92,-0.37
45030,2025-09-16T15:10:19.368,-0.37,0.85,-0.37
45031,2025-09-16T15:10:19.378,-0.37,0.85,-0.49
45032,2025-09-16T15:10:19.388,-0.43,0.85,-0.49
45033,2025-09-16T15:10:19.398,-0.49,0.85,-0.43
45034,2025-09-16T15:10:19.407,-0.43,0.85,-0.43
45035,2025-09-16T15:10:19.417,-0.55,0.85,-0.43
45036,2025-09-16T15:10:19.426,-0.55,0.79,-0.43
45037,2025-09-16T15:10:19.437,-0.43,0.79,-0.43
45038,2025-09-16T15:10:19.446,-0.49,0.79,-0.43
45039,2025-09-16T15:10:19.456,-0.55,0.79,-0.37
45040,2025-09-16T15:10:19.466,-0.55,0.79,-0.43
45041,2025-09-16T15:10:19.476,-0.55,0.79,-0.43
45042,2025-09-16T15:10:19.486,-0.61,0.73,-0.43
45043,2025-09-16T15:10:19.495,-0.55,0.73,-0.43
45044,2025-09-16T15:10:19.506,-0.49,0.79,-0.43
45045,2025-09-16T15:10:19.515,-0.61,0.79,-0.37
45046,2025-09-16T15:10:19.525,-0.37,0.79,-0.43
45047,2025-09-16T15:10:19.535,-0.37,0.85,-0.43
45048,2025-09-16T15:10:19.545,-0.37,0.85,-0.43
45049,2025-09-16T15:10:19.554,-0.37,0.85,-0.43
45050,2025-09-16T15:10:19.564,-0.24,0.79,-0.43
45051,2025-09-16T15:10:19.574,-0.31,0.73,-0.43
45052,2025-09-16T15:10:19.584,-0.43,0.79,-0.43
45053,2025-09-16T15:10:19.594,-0.37,0.79,-0.43
45054,2025-09-16T15:10:19.603,-0.49,0.79,-0.43
45055,2025-09-16T15:10:19.613,-0.55,0.79,-0.43
45056,2025-09-16T15:10:19.623,-0.67,0.85,-0.37
45057,2025-09-16T15:10:19.633,-0.67,0.85,-0.43
45058,2025-09-16T15:10:19.642,-0.79,0.85,-0.37
45059,2025-09-16T15:10:19.652,-0.61,0.85,-0.37
45060,2025-09-16T15:10:19.662,-0.61,0.85,-0.37
45061,2025-09-16T15:10:19.672,-0.49,0.79,-0.43
45062,2025-09-16T15:10:19.681,-0.43,0.79,-0.37
45063,2025-09-16T15:10:19.692,-0.37,0.79,-0.43
45064,2025-09-16T15:10:19.701,-0.31,0.79,-0.43
