sample,timestamp,gyro_x,gyro_y,gyro_z
44000,2025-09-16T15:10:09.284,-0.31,0.85,-0.37
44001,2025-09-16T15:10:09.293,-0.31,0.79,-0.43
44002,2025-09-16T15:10:09.303,-0.24,0.79,-0.37
44003,2025-09-16T15:10:09.313,-0.31,0.79,-0.37
44004,2025-09-16T15:10:09.323,-0.37,0.85,-0.43
44005,2025-09-16T15:10:09.333,-0.37,0.79,-0.37
44006,2025-09-16T15:10:09.343,-0.37,0.85,-0.37
44007,2025-09-16T15:10:09.353,-0.37,0.79,-0.37
44008,2025-09-16T15:10:09.363,-0.37,0.85,-0.37
44009,2025-09-16T15:10:09.372,-0.37,0.79,-0.37
44010,2025-09-16T15:10:09.381,-0.37,0.79,-0.43
44011,2025-09-16T15:10:09.391,-0.37,0.79,-0.43
44012,2025-09-16T15:10:09.401,-0.37,0.79,-0.37
44013,2025-09-16T15:10:09.413,-0.37,0.85,-0.37
44014,2025-09-16T15:10:09.420,-0.37,0.79,-0.37
44015,2025-09-16T15:10:09.431,-0.31,0.85,-0.37
44016,2025-09-16T15:10:09.441,-0.31,0.85,-0.37
44017,2025-09-16T15:10:09.452,-0.31,0.85,-0.37
44018,2025-09-16T15:10:09.461,-0.31,0.79,-0.37
44019,2025-09-16T15:10:09.470,-0.31,0.85,-0.43
44020,2025-09-16T15:10:09.480,-0.31,0.79,-0.37
44021,2025-09-16T15:10:09.490,-0.31,0.79,-0.43
44022,2025-09-16T15:10:09.499,-0.31,0.79,-0.37
44023,2025-09-16T15:10:09.509,-0.37,0.79,-0.43
44024,2025-09-16T15:10:09.519,-0.37,0.79,-0.37
44025,2025-09-16T15:10:09.529,-0.37,0.85,-0.37
44026,2025-09-16T15:10:09.539,-0.43,0.79,-0.43
44027,2025-09-16T15:10:09.549,-0.37,0.85,-0.37
44028,2025-09-16T15:10:09.558,-0.37,0.79,-0.37
44029,2025-09-16T15:10:09.568,-0.37,0.79,-0.37
44030,2025-09-16T15:10:09.578,-0.37,0.85,-0.37
44031,2025-09-16T15:10:09.588,-0.37,0.79,-0.37
44032,2025-09-16T15:10:09.597,-0.37,0.79,-0.37
44033,2025-09-16T15:10:09.607,-0.31,0.79,-0.43
44034,2025-09-16T15:10:09.617,-0.31,0.79,-0.43
44035,2025-09-16T15:10:09.627,-0.31,0.79,-0.43
44036,2025-09-16T15:10:09.637,-0.31,0.79,-0.37
44037,2025-09-16T15:10:09.646,-0.31,0.85,-0.37
44038,2025-09-16T15:10:09.656,-0.31,0.79,-0.37
44039,2025-09-16T15:10:09.666,-0.37,0.85,-0.43
44040,2025-09-16T15:10:09.675,-0.37,0.85,-0.43
44041,2025-09-16T15:10:09.685,-0.37,0.85,-0.43
44042,2025-09-16T15:10:09.695,-0.37,0.85,-0.43
44043,2025-09-16T15:10:09.705,-0.37,0.79,-0.37
44044,2025-09-16T15:10:09.715,-0.37,0.79,-0.37
44045,2025-09-16T15:10:09.725,-0.37,0.79,-0.37
44046,2025-09-16T15:10:09.734,-0.37,0.79,-0.37
44047,2025-09-16T15:10:09.744,-0.37,0.79,-0.37
44048,2025-09-16T15:10:09.754,-0.37,0.79,-0.43
44049,2025-09-16T15:10:09.763,-0.37,0.79,-0.43
44050,2025-09-16T15:10:09.773,-0.37,0.85,-0.43
44051,2025-09-16T15:10:09.783,-0.31,0.79,-0.37
44052,2025-09-16T15:10:09.794,-0.31,0.85,-0.37
44053,2025-09-16T15:10:09.803,-0.31,0.85,-0.43
44054,2025-09-16T15:10:09.813,-0.31,0.79,-0.37
44055,2025-09-16T15:10:09.823,-0.31,0.79,-0.37
44056,2025-09-16T15:10:09.832,-0.37,0.79,-0.37
44057,2025-09-16T15:10:09.842,-0.37,0.79,-0.37
44058,2025-09-16T15:10:09.852,-0.37,0.79,-0.37
44059,2025-09-16T15:10:09.862,-0.37,0.79,-0.37
44060,2025-09-16T15:10:09.871,-0.37,0.85,-0.43
44061,2025-09-16T15:10:09.881,-0.37,0.85,-0.37
44062,2025-09-16T15:10:09.891,-0.37,0.79,-0.43
44063,2025-09-16T15:10:09.901,-0.37,0.85,-0.37
44064,2025-09-16T15:10:09.910,-0.37,0.85,-0.37
44065,2025-09-16T15:10:09.921,-0.37,0.85,-0.37
44066,2025-09-16T15:10:09.931,-0.37,0.79,-0.37
44067,2025-09-16T15:10:09.940,-0.31,0.79,-0.37
44068,2025-09-16T15:10:09.950,-0.31,0.79,-0.37
44069,2025-09-16T15:10:09.960,-0.31,0.79,-0.43
44070,2025-09-16T15:10:09.969,-0.31,0.79,-0.37
44071,2025-09-16T15:10:09.979,-0.31,0.79,-0.43
44072,2025-09-16T15:10:09.989,-0.31,0.79,-0.43
44073,2025-09-16T15:10:09.998,-0.37,0.79,-0.43
44074,2025-09-16T15:10:10.008,-0.37,0.79,-0.43
44075,2025-09-16T15:10:10.018,-0.37,0.85,-0.37
44076,2025-09-16T15:10:10.028,-0.37,0.79,-0.37
44077,2025-09-16T15:10:10.038,-0.37,0.85,-0.37
44078,2025-09-16T15:10:10.047,-0.37,0.79,-0.43
44079,2025-09-16T15:10:10.058,-0.37,0.85,-0.37
44080,2025-09-16T15:10:10.067,-0.37,0.79,-0.37
44081,2025-09-16T15:10:10.076,-0.37,0.79,-0.43
44082,2025-09-16T15:10:10.087,-0.37,0.79,-0.37
44083,2025-09-16T15:10:10.097,-0.37,0.79,-0.43
44084,2025-09-16T15:10:10.107,-0.31,0.85,-0.43
44085,2025-09-16T15:10:10.117,-0.31,0.85,-0.43
44086,2025-09-16T15:10:10.127,-0.37,0.85,-0.37
44087,2025-09-16T15:10:10.137,-0.37,0.85,-0.37
44088,2025-09-16T15:10:10.146,-0.31,0.85,-0.37
44089,2025-09-16T15:10:10.156,-0.37,0.85,-0.37
44090,2025-09-16T15:10:10.165,-0.31,0.79,-0.37
44091,2025-09-16T15:10:10.175,-0.37,0.79,-0.37
44092,2025-09-16T15:10:10.185,-0.37,0.79,-0.37
44093,2025-09-16T15:10:10.194,-0.37,0.79,-0.37
