sample,timestamp,gyro_x,gyro_y,gyro_z
30000,2025-09-16T15:07:52.217,-0.43,0.79,-0.31
30001,2025-09-16T15:07:52.227,-0.37,0.79,-0.31
30002,2025-09-16T15:07:52.237,-0.49,0.79,-0.31
30003,2025-09-16T15:07:52.247,-0.43,0.79,-0.31
30004,2025-09-16T15:07:52.256,-0.37,0.79,-0.37
30005,2025-09-16T15:07:52.266,-0.24,0.79,-0.37
30006,2025-09-16T15:07:52.276,-0.31,0.79,-0.37
30007,2025-09-16T15:07:52.286,-0.18,0.79,-0.43
30008,2025-09-16T15:07:52.295,-0.37,0.79,-0.43
30009,2025-09-16T15:07:52.305,-0.37,0.79,-0.43
30010,2025-09-16T15:07:52.315,-0.43,0.85,-0.49
30011,2025-09-16T15:07:52.324,-0.43,0.85,-0.55
30012,2025-09-16T15:07:52.334,-0.49,0.85,-0.49
30013,2025-09-16T15:07:52.344,-0.43,0.85,-0.55
30014,2025-09-16T15:07:52.354,-0.31,0.79,-0.43
30015,2025-09-16T15:07:52.364,-0.31,0.85,-0.43
30016,2025-09-16T15:07:52.375,-0.24,0.85,-0.37
30017,2025-09-16T15:07:52.384,-0.18,0.79,-0.37
30018,2025-09-16T15:07:52.393,-0.31,0.79,-0.37
30019,2025-09-16T15:07:52.403,-0.49,0.79,-0.37
30020,2025-09-16T15:07:52.413,-0.43,0.79,-0.37
30021,2025-09-16T15:07:52.422,-0.31,0.79,-0.31
30022,2025-09-16T15:07:52.432,-0.43,0.79,-0.37
30023,2025-09-16T15:07:52.443,-0.24,0.79,-0.31
30024,2025-09-16T15:07:52.452,-0.24,0.79,-0.31
30025,2025-09-16T15:07:52.461,-0.37,0.85,-0.37
30026,2025-09-16T15:07:52.471,-0.37,0.79,-0.37
30027,2025-09-16T15:07:52.481,-0.37,0.85,-0.43
30028,2025-09-16T15:07:52.491,-0.43,0.79,-0.43
30029,2025-09-16T15:07:52.501,-0.37,0.79,-0.49
30030,2025-09-16T15:07:52.511,-0.37,0.79,-0.49
30031,2025-09-16T15:07:52.521,-0.37,0.79,-0.49
30032,2025-09-16T15:07:52.531,-0.43,0.79,-0.49
30033,2025-09-16T15:07:52.540,-0.37,0.79,-0.43
30034,2025-09-16T15:07:52.550,-0.37,0.79,-0.43
30035,2025-09-16T15:07:52.560,-0.37,0.79,-0.37
30036,2025-09-16T15:07:52.569,-0.24,0.79,-0.37
30037,2025-09-16T15:07:52.579,-0.31,0.79,-0.37
30038,2025-09-16T15:07:52.589,-0.18,0.79,-0.31
30039,2025-09-16T15:07:52.599,-0.18,0.79,-0.31
30040,2025-09-16T15:07:52.609,-0.24,0.79,-0.31
30041,2025-09-16T15:07:52.618,-0.37,0.79,-0.37
30042,2025-09-16T15:07:52.628,-0.43,0.85,-0.37
30043,2025-09-16T15:07:52.638,-0.43,0.79,-0.37
30044,2025-09-16T15:07:52.649,-0.37,0.79,-0.43
30045,2025-09-16T15:07:52.657,-0.37,0.79,-0.43
30046,2025-09-16T15:07:52.667,-0.24,0.79,-0.49
30047,2025-09-16T15:07:52.677,-0.37,0.79,-0.49
30048,2025-09-16T15:07:52.687,-0.49,0.79,-0.49
30049,2025-09-16T15:07:52.697,-0.43,0.85,-0.49
30050,2025-09-16T15:07:52.707,-0.43,0.85,-0.49
30051,2025-09-16T15:07:52.717,-0.55,0.85,-0.49
30052,2025-09-16T15:07:52.727,-0.37,0.79,-0.43
30053,2025-09-16T15:07:52.736,-0.37,0.85,-0.43
30054,2025-09-16T15:07:52.746,-0.31,0.85,-0.43
30055,2025-09-16T15:07:52.756,-0.12,0.79,-0.43
30056,2025-09-16T15:07:52.766,-0.24,0.79,-0.37
30057,2025-09-16T15:07:52.775,-0.31,0.79,-0.37
30058,2025-09-16T15:07:52.785,-0.37,0.79,-0.43
30059,2025-09-16T15:07:52.795,-0.43,0.79,-0.43
30060,2025-09-16T15:07:52.804,-0.49,0.79,-0.43
30061,2025-09-16T15:07:52.815,-0.49,0.85,-0.43
30062,2025-09-16T15:07:52.825,-0.43,0.85,-0.37
30063,2025-09-16T15:07:52.835,-0.37,0.79,-0.43
30064,2025-09-16T15:07:52.844,-0.24,0.79,-0.43
30065,2025-09-16T15:07:52.853,-0.18,0.79,-0.37
30066,2025-09-16T15:07:52.863,-0.24,0.85,-0.37
30067,2025-09-16T15:07:52.873,-0.24,0.79,-0.37
30068,2025-09-16T15:07:52.883,-0.37,0.79,-0.37
30069,2025-09-16T15:07:52.893,-0.43,0.79,-0.37
30070,2025-09-16T15:07:52.902,-0.43,0.79,-0.37
30071,2025-09-16T15:07:52.912,-0.31,0.79,-0.37
30072,2025-09-16T15:07:52.922,-0.37,0.79,-0.37
30073,2025-09-16T15:07:52.932,-0.31,0.79,-0.37
30074,2025-09-16T15:07:52.942,-0.24,0.85,-0.37
30075,2025-09-16T15:07:52.951,-0.24,0.79,-0.43
30076,2025-09-16T15:07:52.961,-0.37,0.79,-0.37
30077,2025-09-16T15:07:52.971,-0.43,0.79,-0.37
30078,2025-09-16T15:07:52.980,-0.49,0.85,-0.37
30079,2025-09-16T15:07:52.991,-0.43,0.85,-0.43
30080,2025-09-16T15:07:53.001,-0.37,0.85,-0.37
30081,2025-09-16T15:07:53.010,-0.43,0.85,-0.37
30082,2025-09-16T15:07:53.020,-0.06,0.79,-0.37
30083,2025-09-16T15:07:53.029,-0.37,0.79,-0.37
30084,2025-09-16T15:07:53.039,-0.06,0.79,-0.43
30085,2025-09-16T15:07:53.049,-0.06,0.85,-0.37
30086,2025-09-16T15:07:53.059,-0.24,0.85,-0.43
30087,2025-09-16T15:07:53.069,-0.55,0.85,-0.43
30088,2025-09-16T15:07:53.078,-0.55,0.85,-0.43
30089,2025-09-16T15:07:53.086,-0.79,0.85,-0.49
30090,2025-09-16T15:07:53.098,-0.73,0.92,-0.55
30091,2025-09-16T15:07:53.107,-0.61,0.85,-0.55
30092,2025-09-16T15:07:53.118,-0.49,0.85,-0.55
30093,2025-09-16T15:07:53.127,-0.31,0.79,-0.43
30094,2025-09-16T15:07:53.137,0.06,0.73,-0.43
30095,2025-09-16T15:07:53.147,0.12,0.73,-0.43
30096,2025-09-16T15:07:53.157,-0.06,0.73,-0.37
30097,2025-09-16T15:07:53.166,-0.12,0.73,-0.31
30098,2025-09-16T15:07:53.176,-0.37,0.79,-0.31
30099,2025-09-16T15:07:53.186,-0.73,0.79,-0.31
30100,2025-09-16T15:07:53.196,-0.73,0.85,-0.31
30101,2025-09-16T15:07:53.206,-0.49,0.85,-0.31
30102,2025-09-16T15:07:53.216,-0.37,0.85,-0.31
30103,2025-09-16T15:07:53.226,-0.06,0.79,-0.24
30104,2025-09-16T15:07:53.236,0.0,0.79,-0.31
30105,2025-09-16T15:07:53.245,-0.12,0.79,-0.31
30106,2025-09-16T15:07:53.255,-0.06,0.73,-0.37
30107,2025-09-16T15:07:53.265,-0.55,0.79,-0.37
30108,2025-09-16T15:07:53.275,-0.67,0.79,-0.49
30109,2025-09-16T15:07:53.285,-0.79,0.79,-0.49
30110,2025-09-16T15:07:53.294,-0.61,0.79,-0.49
30111,2025-09-16T15:07:53.304,-0.43,0.85,-0.49
30112,2025-09-16T15:07:53.313,-0.24,0.85,-0.43
30113,2025-09-16T15:07:53.323,-0.12,0.85,-0.49
30114,2025-09-16T15:07:53.333,-0.06,0.85,-0.43
30115,2025-09-16T15:07:53.343,-0.18,0.85,-0.37
30116,2025-09-16T15:07:53.353,-0.31,0.79,-0.37
30117,2025-09-16T15:07:53.363,-0.43,0.79,-0.43
30118,2025-09-16T15:07:53.372,-0.55,0.79,-0.37
30119,2025-09-16T15:07:53.382,-0.55,0.79,-0.37
30120,2025-09-16T15:07:53.392,-0.31,0.73,-0.31
30121,2025-09-16T15:07:53.402,-0.24,0.73,-0.31
30122,2025-09-16T15:07:53.411,-0.12,0.73,-0.31
30123,2025-09-16T15:07:53.421,-0.06,0.73,-0.31
30124,2025-09-16T15:07:53.431,-0.18,0.79,-0.31
30125,2025-09-16T15:07:53.441,-0.31,0.79,-0.37
30126,2025-09-16T15:07:53.451,-0.37,0.79,-0.43
30127,2025-09-16T15:07:53.460,-0.61,0.85,-0.43
30128,2025-09-16T15:07:53.470,-0.67,0.85,-0.43
30129,2025-09-16T15:07:53.480,-0.73,0.85,-0.43
30130,2025-09-16T15:07:53.490,-0.43,0.79,-0.37
30131,2025-09-16T15:07:53.500,-0.37,0.79,-0.37
30132,2025-09-16T15:07:53.510,-0.06,0.79,-0.31
30133,2025-09-16T15:07:53.520,0.24,0.79,-0.37
30134,2025-09-16T15:07:53.530,0.18,0.79,-0.37
30135,2025-09-16T15:07:53.540,-0.18,0.79,-0.37
30136,2025-09-16T15:07:53.549,-0.43,0.85,-0.43
30137,2025-09-16T15:07:53.559,-0.73,0.85,-0.43
30138,2025-09-16T15:07:53.570,-0.85,0.92,-0.49
30139,2025-09-16T15:07:53.578,-0.85,0.92,-0.49
30140,2025-09-16T15:07:53.588,-0.61,0.85,-0.43
30141,2025-09-16T15:07:53.598,-0.31,0.79,-0.43
30142,2025-09-16T15:07:53.607,-0.18,0.79,-0.43
30143,2025-09-16T15:07:53.617,-0.12,0.79,-0.43
30144,2025-09-16T15:07:53.627,-0.12,0.79,-0.37
30145,2025-09-16T15:07:53.637,-0.24,0.79,-0.37
30146,2025-09-16T15:07:53.646,-0.43,0.85,-0.37
30147,2025-09-16T15:07:53.656,-0.49,0.79,-0.43
30148,2025-09-16T15:07:53.666,-0.49,0.85,-0.31
30149,2025-09-16T15:07:53.676,-0.37,0.85,-0.24
30150,2025-09-16T15:07:53.686,-0.18,0.79,-0.24
30151,2025-09-16T15:07:53.696,-0.06,0.79,-0.24
30152,2025-09-16T15:07:53.706,0.0,0.73,-0.24
30153,2025-09-16T15:07:53.715,0.0,0.73,-0.24
30154,2025-09-16T15:07:53.725,-0.18,0.79,-0.31
30155,2025-09-16T15:07:53.736,-0.55,0.85,-0.43
30156,2025-09-16T15:07:53.745,-0.73,0.79,-0.43
30157,2025-09-16T15:07:53.755,-0.92,0.85,-0.49
30158,2025-09-16T15:07:53.764,-0.73,0.85,-0.49
30159,2025-09-16T15:07:53.775,-0.37,0.79,-0.43
30160,2025-09-16T15:07:53.784,-0.06,0.79,-0.43
30161,2025-09-16T15:07:53.793,-0.06,0.85,-0.43
30162,2025-09-16T15:07:53.803,-0.06,0.85,-0.49
30163,2025-09-16T15:07:53.813,-0.18,0.85,-0.49
30164,2025-09-16T15:07:53.823,-0.43,0.92,-0.49
30165,2025-09-16T15:07:53.832,-0.55,0.92,-0.43
30166,2025-09-16T15:07:53.846,-0.73,0.92,-0.37
30167,2025-09-16T15:07:53.852,-0.49,0.85,-0.37
