sample,timestamp,gyro_x,gyro_y,gyro_z
25500,2025-09-16T15:07:08.161,-0.67,0.85,-0.37
25501,2025-09-16T15:07:08.170,-0.79,0.79,-0.37
25502,2025-09-16T15:07:08.180,-0.43,0.79,-0.31
25503,2025-09-16T15:07:08.190,-0.06,0.79,-0.31
25504,2025-09-16T15:07:08.199,0.0,0.79,-0.31
25505,2025-09-16T15:07:08.210,0.06,0.79,-0.37
25506,2025-09-16T15:07:08.219,0.12,0.79,-0.37
25507,2025-09-16T15:07:08.229,-0.18,0.79,-0.37
25508,2025-09-16T15:07:08.239,-0.49,0.79,-0.43
25509,2025-09-16T15:07:08.249,-0.67,0.73,-0.43
25510,2025-09-16T15:07:08.259,-0.61,0.73,-0.43
25511,2025-09-16T15:07:08.269,-0.61,0.73,-0.37
25512,2025-09-16T15:07:08.278,-0.31,0.73,-0.37
25513,2025-09-16T15:07:08.288,-0.12,0.73,-0.37
25514,2025-09-16T15:07:08.298,0.06,0.79,-0.37
25515,2025-09-16T15:07:08.308,-0.18,0.79,-0.37
25516,2025-09-16T15:07:08.318,-0.37,0.85,-0.37
25517,2025-09-16T15:07:08.327,-0.43,0.92,-0.37
25518,2025-09-16T15:07:08.337,-0.49,0.92,-0.43
25519,2025-09-16T15:07:08.346,-0.61,0.85,-0.43
25520,2025-09-16T15:07:08.356,-0.55,0.85,-0.49
25521,2025-09-16T15:07:08.366,-0.49,0.85,-0.43
25522,2025-09-16T15:07:08.376,-0.37,0.85,-0.43
25523,2025-09-16T15:07:08.386,-0.37,0.79,-0.43
25524,2025-09-16T15:07:08.396,-0.24,0.79,-0.37
25525,2025-09-16T15:07:08.405,-0.18,0.79,-0.37
25526,2025-09-16T15:07:08.415,-0.12,0.85,-0.37
25527,2025-09-16T15:07:08.425,-0.31,0.85,-0.31
25528,2025-09-16T15:07:08.435,-0.43,0.85,-0.37
25529,2025-09-16T15:07:08.445,-0.43,0.85,-0.37
25530,2025-09-16T15:07:08.454,-0.67,0.92,-0.37
25531,2025-09-16T15:07:08.464,-0.79,0.85,-0.37
25532,2025-09-16T15:07:08.474,-0.49,0.79,-0.37
25533,2025-09-16T15:07:08.484,-0.18,0.73,-0.37
25534,2025-09-16T15:07:08.493,-0.06,0.73,-0.31
25535,2025-09-16T15:07:08.503,0.06,0.67,-0.31
25536,2025-09-16T15:07:08.514,0.12,0.67,-0.31
25537,2025-09-16T15:07:08.522,-0.12,0.73,-0.37
25538,2025-09-16T15:07:08.532,-0.37,0.73,-0.37
25539,2025-09-16T15:07:08.542,-0.43,0.79,-0.37
