sample,timestamp,gyro_x,gyro_y,gyro_z
36000,2025-09-16T15:08:50.960,-5.25,-525.45,264.77
36001,2025-09-16T15:08:50.970,-223.02,-479.25,86.36
36002,2025-09-16T15:08:50.980,-112.49,-218.51,-185.55
36003,2025-09-16T15:08:50.989,-223.14,-6.71,-305.6
36004,2025-09-16T15:08:50.999,-255.74,230.96,-301.15
36005,2025-09-16T15:08:51.009,-140.75,397.95,-204.22
36006,2025-09-16T15:08:51.019,70.92,477.23,-99.61
36007,2025-09-16T15:08:51.028,250.73,532.9,-16.91
36008,2025-09-16T15:08:51.038,311.04,591.55,28.69
36009,2025-09-16T15:08:51.048,197.14,637.51,18.62
36010,2025-09-16T15:08:51.058,498.6,619.87,-40.71
36011,2025-09-16T15:08:51.067,104.8,489.01,-178.83
36012,2025-09-16T15:08:51.077,-235.9,336.98,-254.64
36013,2025-09-16T15:08:51.087,-159.36,230.71,-256.71
36014,2025-09-16T15:08:51.097,-57.68,132.75,-234.37
36015,2025-09-16T15:08:51.106,-41.56,30.58,-215.58
36016,2025-09-16T15:08:51.116,-46.94,-43.88,-209.05
36017,2025-09-16T15:08:51.126,-45.9,-78.43,-191.16
36018,2025-09-16T15:08:51.137,6.35,-1.95,-22.34
36019,2025-09-16T15:08:51.146,48.83,-54.63,71.35
36020,2025-09-16T15:08:51.155,87.52,-142.33,92.53
36021,2025-09-16T15:08:51.165,100.4,-217.83,115.3
36022,2025-09-16T15:08:51.175,120.67,-264.59,134.58
36023,2025-09-16T15:08:51.185,126.65,-301.82,142.03
36024,2025-09-16T15:08:51.194,127.38,-335.82,134.89
36025,2025-09-16T15:08:51.205,126.95,-360.29,117.55
36026,2025-09-16T15:08:51.215,104.92,-366.21,99.37
36027,2025-09-16T15:08:51.223,63.48,-363.22,86.91
36028,2025-09-16T15:08:51.233,82.7,-361.15,47.79
36029,2025-09-16T15:08:51.243,141.91,-348.94,-16.91
36030,2025-09-16T15:08:51.253,170.84,-319.4,-88.01
36031,2025-09-16T15:08:51.263,185.61,-264.53,-138.31
36032,2025-09-16T15:08:51.272,148.44,-163.76,-176.39
36033,2025-09-16T15:08:51.282,124.94,-29.11,-168.46
36034,2025-09-16T15:08:51.292,105.1,86.06,-141.72
36035,2025-09-16T15:08:51.302,88.13,177.37,-92.53
36036,2025-09-16T15:08:51.312,52.25,234.62,-29.17
36037,2025-09-16T15:08:51.321,5.19,273.86,40.65
36038,2025-09-16T15:08:51.332,-35.1,301.64,99.43
36039,2025-09-16T15:08:51.341,-80.99,304.99,139.71
36040,2025-09-16T15:08:51.351,-156.74,291.56,153.63
36041,2025-09-16T15:08:51.361,-260.38,291.93,146.79
36042,2025-09-16T15:08:51.371,-296.39,300.84,117.92
36043,2025-09-16T15:08:51.381,-192.63,330.81,36.87
36044,2025-09-16T15:08:51.391,51.64,411.25,-75.32
36045,2025-09-16T15:08:51.401,357.48,381.1,-178.83
