sample,timestamp,gyro_x,gyro_y,gyro_z
48000,2025-09-16T15:10:48.446,-0.18,0.79,-0.43
48001,2025-09-16T15:10:48.456,-0.24,0.79,-0.43
48002,2025-09-16T15:10:48.466,-0.31,0.79,-0.43
48003,2025-09-16T15:10:48.475,-0.37,0.85,-0.37
48004,2025-09-16T15:10:48.485,-0.37,0.85,-0.37
48005,2025-09-16T15:10:48.495,-0.43,0.79,-0.37
48006,2025-09-16T15:10:48.505,-0.49,0.85,-0.43
48007,2025-09-16T15:10:48.515,-0.55,0.85,-0.43
48008,2025-09-16T15:10:48.525,-0.49,0.79,-0.43
48009,2025-09-16T15:10:48.534,-0.49,0.79,-0.37
48010,2025-09-16T15:10:48.544,-0.43,0.79,-0.43
48011,2025-09-16T15:10:48.554,-0.37,0.79,-0.37
48012,2025-09-16T15:10:48.564,-0.37,0.79,-0.37
48013,2025-09-16T15:10:48.574,-0.31,0.79,-0.37
48014,2025-09-16T15:10:48.584,-0.24,0.85,-0.37
48015,2025-09-16T15:10:48.594,-0.24,0.85,-0.43
48016,2025-09-16T15:10:48.603,-0.18,0.85,-0.37
48017,2025-09-16T15:10:48.613,-0.24,0.85,-0.37
48018,2025-09-16T15:10:48.622,-0.24,0.85,-0.37
48019,2025-09-16T15:10:48.632,-0.24,0.85,-0.43
48020,2025-09-16T15:10:48.641,-0.37,0.79,-0.37
48021,2025-09-16T15:10:48.652,-0.37,0.79,-0.37
48022,2025-09-16T15:10:48.662,-0.43,0.79,-0.37
48023,2025-09-16T15:10:48.671,-0.43,0.79,-0.37
48024,2025-09-16T15:10:48.681,-0.49,0.79,-0.43
48025,2025-09-16T15:10:48.691,-0.49,0.79,-0.43
48026,2025-09-16T15:10:48.700,-0.55,0.85,-0.43
48027,2025-09-16T15:10:48.711,-0.55,0.85,-0.37
48028,2025-09-16T15:10:48.721,-0.24,0.98,-0.43
48029,2025-09-16T15:10:48.730,-0.18,0.98,-0.43
48030,2025-09-16T15:10:48.740,-0.06,1.04,-0.37
48031,2025-09-16T15:10:48.750,0.0,0.98,-0.37
48032,2025-09-16T15:10:48.760,0.12,0.92,-0.37
48033,2025-09-16T15:10:48.770,0.12,0.85,-0.37
48034,2025-09-16T15:10:48.779,0.24,0.79,-0.31
48035,2025-09-16T15:10:48.789,0.24,0.73,-0.37
48036,2025-09-16T15:10:48.799,0.18,0.67,-0.43
48037,2025-09-16T15:10:48.808,-0.24,0.61,-0.43
48038,2025-09-16T15:10:48.818,-0.61,0.61,-0.49
48039,2025-09-16T15:10:48.828,-0.61,0.61,-0.49
48040,2025-09-16T15:10:48.838,-1.16,0.67,-0.37
48041,2025-09-16T15:10:48.848,-0.98,0.73,-0.43
48042,2025-09-16T15:10:48.857,-1.65,0.85,-0.31
48043,2025-09-16T15:10:48.868,-1.28,0.98,-0.49
48044,2025-09-16T15:10:48.877,-0.67,1.1,-0.67
48045,2025-09-16T15:10:48.887,-0.85,0.92,-0.24
48046,2025-09-16T15:10:48.896,-0.49,0.79,-0.18
48047,2025-09-16T15:10:48.906,-0.73,0.67,-0.37
48048,2025-09-16T15:10:48.916,0.12,0.49,-0.37
48049,2025-09-16T15:10:48.926,-0.18,0.49,-0.49
48050,2025-09-16T15:10:48.937,0.24,0.49,-0.49
48051,2025-09-16T15:10:48.945,0.37,0.67,-0.43
48052,2025-09-16T15:10:48.956,0.18,0.79,-0.31
48053,2025-09-16T15:10:48.965,0.06,0.79,-0.06
48054,2025-09-16T15:10:48.975,-0.67,0.92,0.06
48055,2025-09-16T15:10:48.985,-0.43,1.04,-0.18
48056,2025-09-16T15:10:48.995,-1.04,1.1,-0.43
48057,2025-09-16T15:10:49.004,-1.28,0.85,-0.37
48058,2025-09-16T15:10:49.014,-1.95,0.67,-0.31
48059,2025-09-16T15:10:49.024,-1.83,0.49,-0.43
48060,2025-09-16T15:10:49.034,-1.71,0.37,-0.61
48061,2025-09-16T15:10:49.043,-2.01,0.24,-0.61
48062,2025-09-16T15:10:49.053,-1.95,0.31,-0.43
48063,2025-09-16T15:10:49.063,-2.26,0.49,-0.31
48064,2025-09-16T15:10:49.073,-1.04,0.67,-0.24
48065,2025-09-16T15:10:49.082,-0.92,0.92,-0.18
48066,2025-09-16T15:10:49.092,-0.79,1.04,-0.12
48067,2025-09-16T15:10:49.102,-0.55,1.16,-0.24
48068,2025-09-16T15:10:49.112,-0.18,1.16,-0.37
48069,2025-09-16T15:10:49.122,-0.18,1.1,-0.43
48070,2025-09-16T15:10:49.132,-0.31,0.92,-0.43
48071,2025-09-16T15:10:49.142,-0.18,0.79,-0.43
48072,2025-09-16T15:10:49.152,-0.24,0.73,-0.37
48073,2025-09-16T15:10:49.161,-0.18,0.67,-0.31
48074,2025-09-16T15:10:49.171,0.0,0.73,-0.24
48075,2025-09-16T15:10:49.181,-0.06,0.85,-0.24
48076,2025-09-16T15:10:49.191,-0.18,0.92,-0.24
48077,2025-09-16T15:10:49.200,-0.06,1.04,-0.31
48078,2025-09-16T15:10:49.210,0.0,1.1,-0.37
