sample,timestamp,gyro_x,gyro_y,gyro_z
35000,2025-09-16T15:08:41.169,12.63,-3.11,11.54
35001,2025-09-16T15:08:41.179,-2.56,-16.91,-4.46
35002,2025-09-16T15:08:41.189,-21.67,-31.13,0.12
35003,2025-09-16T15:08:41.199,-109.07,-33.14,-17.64
35004,2025-09-16T15:08:41.208,-63.17,-31.37,-13.37
35005,2025-09-16T15:08:41.218,10.93,-84.23,1.4
35006,2025-09-16T15:08:41.228,45.23,-115.05,-0.98
35007,2025-09-16T15:08:41.238,-25.21,-54.87,-10.86
35008,2025-09-16T15:08:41.248,-40.95,-33.75,-5.0
35009,2025-09-16T15:08:41.257,7.14,-51.15,-3.42
35010,2025-09-16T15:08:41.267,27.95,-21.67,10.62
35011,2025-09-16T15:08:41.277,35.46,-42.05,10.01
35012,2025-09-16T15:08:41.287,-3.48,-56.95,21.48
35013,2025-09-16T15:08:41.297,51.7,-41.56,42.18
35014,2025-09-16T15:08:41.306,34.79,-20.57,52.43
35015,2025-09-16T15:08:41.316,-3.05,-39.67,38.39
35016,2025-09-16T15:08:41.326,-20.08,-83.56,28.02
35017,2025-09-16T15:08:41.336,-17.64,-127.5,17.94
35018,2025-09-16T15:08:41.346,3.36,-158.26,7.45
35019,2025-09-16T15:08:41.355,-40.89,-196.47,-11.66
35020,2025-09-16T15:08:41.366,-91.31,-205.14,-38.7
35021,2025-09-16T15:08:41.375,-152.89,-181.76,-69.58
35022,2025-09-16T15:08:41.385,-178.47,-161.8,-104.43
35023,2025-09-16T15:08:41.395,-201.6,-159.61,-142.4
35024,2025-09-16T15:08:41.404,-220.21,-176.64,-181.4
35025,2025-09-16T15:08:41.414,-240.17,-206.79,-228.64
35026,2025-09-16T15:08:41.424,-273.01,-247.19,-292.42
35027,2025-09-16T15:08:41.433,-314.21,-263.85,-369.02
35028,2025-09-16T15:08:41.443,-406.74,-246.52,-486.76
35029,2025-09-16T15:08:41.453,-402.22,-243.41,-563.23
35030,2025-09-16T15:08:41.463,-388.85,-180.42,-512.94
35031,2025-09-16T15:08:41.472,-378.78,-95.58,-316.1
