sample,timestamp,gyro_x,gyro_y,gyro_z
49000,2025-09-16T15:10:58.237,-0.12,0.79,-0.43
49001,2025-09-16T15:10:58.246,-0.67,0.73,-0.43
49002,2025-09-16T15:10:58.256,-0.92,0.79,-0.43
49003,2025-09-16T15:10:58.266,-1.28,0.85,-0.43
49004,2025-09-16T15:10:58.276,-1.77,0.92,-0.37
49005,2025-09-16T15:10:58.285,-1.77,0.92,-0.43
49006,2025-09-16T15:10:58.295,-1.77,0.92,-0.43
49007,2025-09-16T15:10:58.305,-1.34,0.92,-0.37
49008,2025-09-16T15:10:58.314,-0.85,0.92,-0.37
49009,2025-09-16T15:10:58.324,-0.37,0.98,-0.37
49010,2025-09-16T15:10:58.334,0.0,0.85,-0.37
49011,2025-09-16T15:10:58.344,0.18,0.73,-0.37
49012,2025-09-16T15:10:58.354,0.61,0.79,-0.37
49013,2025-09-16T15:10:58.364,0.98,0.79,-0.37
49014,2025-09-16T15:10:58.374,1.16,0.79,-0.37
49015,2025-09-16T15:10:58.383,1.1,0.79,-0.37
49016,2025-09-16T15:10:58.393,0.67,0.73,-0.37
49017,2025-09-16T15:10:58.403,0.24,0.73,-0.37
49018,2025-09-16T15:10:58.413,-0.12,0.79,-0.43
49019,2025-09-16T15:10:58.423,-0.49,0.85,-0.37
49020,2025-09-16T15:10:58.433,-0.98,0.79,-0.43
49021,2025-09-16T15:10:58.442,-1.59,0.79,-0.43
49022,2025-09-16T15:10:58.452,-1.89,0.73,-0.43
49023,2025-09-16T15:10:58.461,-2.01,0.73,-0.43
49024,2025-09-16T15:10:58.471,-1.71,0.73,-0.49
49025,2025-09-16T15:10:58.481,-1.1,0.85,-0.43
49026,2025-09-16T15:10:58.491,-0.73,0.92,-0.37
49027,2025-09-16T15:10:58.500,-0.49,0.92,-0.37
49028,2025-09-16T15:10:58.511,-0.24,0.85,-0.31
49029,2025-09-16T15:10:58.521,0.24,0.85,-0.37
49030,2025-09-16T15:10:58.530,0.67,0.85,-0.37
49031,2025-09-16T15:10:58.540,0.98,0.85,-0.37
49032,2025-09-16T15:10:58.550,1.04,0.73,-0.37
49033,2025-09-16T15:10:58.560,0.92,0.73,-0.37
49034,2025-09-16T15:10:58.569,0.73,0.79,-0.37
49035,2025-09-16T15:10:58.579,0.31,0.79,-0.37
49036,2025-09-16T15:10:58.589,-0.06,0.79,-0.43
49037,2025-09-16T15:10:58.599,-0.31,0.79,-0.37
49038,2025-09-16T15:10:58.609,-0.79,0.85,-0.37
49039,2025-09-16T15:10:58.618,-1.22,0.85,-0.43
49040,2025-09-16T15:10:58.628,-1.4,0.85,-0.43
49041,2025-09-16T15:10:58.637,-1.34,0.85,-0.43
49042,2025-09-16T15:10:58.647,-1.16,0.85,-0.49
49043,2025-09-16T15:10:58.657,-1.04,0.85,-0.43
49044,2025-09-16T15:10:58.667,-0.85,0.79,-0.49
49045,2025-09-16T15:10:58.676,-0.67,0.73,-0.49
49046,2025-09-16T15:10:58.686,-0.49,0.73,-0.49
49047,2025-09-16T15:10:58.696,-0.06,0.73,-0.43
49048,2025-09-16T15:10:58.706,0.18,0.73,-0.43
49049,2025-09-16T15:10:58.716,0.31,0.67,-0.43
49050,2025-09-16T15:10:58.726,0.31,0.73,-0.43
49051,2025-09-16T15:10:58.736,0.24,0.79,-0.43
49052,2025-09-16T15:10:58.746,0.12,0.79,-0.37
49053,2025-09-16T15:10:58.755,-0.12,0.85,-0.37
49054,2025-09-16T15:10:58.765,-0.24,0.85,-0.37
49055,2025-09-16T15:10:58.775,-0.55,0.85,-0.37
49056,2025-09-16T15:10:58.785,-0.67,0.85,-0.43
49057,2025-09-16T15:10:58.795,-0.73,0.85,-0.37
49058,2025-09-16T15:10:58.804,-0.73,0.85,-0.37
49059,2025-09-16T15:10:58.814,-0.67,0.85,-0.37
49060,2025-09-16T15:10:58.824,-0.67,0.85,-0.37
49061,2025-09-16T15:10:58.833,-0.55,0.79,-0.37
49062,2025-09-16T15:10:58.843,-0.49,0.79,-0.37
49063,2025-09-16T15:10:58.853,-0.31,0.85,-0.43
49064,2025-09-16T15:10:58.863,-0.12,0.85,-0.43
49065,2025-09-16T15:10:58.872,-0.06,0.85,-0.43
49066,2025-09-16T15:10:58.883,0.0,0.79,-0.37
49067,2025-09-16T15:10:58.892,-0.06,0.79,-0.43
49068,2025-09-16T15:10:58.902,-0.18,0.85,-0.37
49069,2025-09-16T15:10:58.912,-0.18,0.85,-0.37
49070,2025-09-16T15:10:58.922,-0.24,0.85,-0.37
49071,2025-09-16T15:10:58.932,-0.31,0.85,-0.37
49072,2025-09-16T15:10:58.941,-0.43,0.85,-0.37
49073,2025-09-16T15:10:58.951,-0.31,0.79,-0.37
49074,2025-09-16T15:10:58.960,-0.37,0.85,-0.37
