sample,timestamp,gyro_x,gyro_y,gyro_z
26000,2025-09-16T15:07:13.056,-0.18,0.79,-0.43
26001,2025-09-16T15:07:13.066,0.06,0.73,-0.37
26002,2025-09-16T15:07:13.076,0.0,0.67,-0.37
26003,2025-09-16T15:07:13.085,-0.37,0.85,-0.43
26004,2025-09-16T15:07:13.095,-0.31,0.79,-0.43
26005,2025-09-16T15:07:13.105,-0.43,0.79,-0.37
26006,2025-09-16T15:07:13.115,-0.61,0.85,-0.43
26007,2025-09-16T15:07:13.125,-0.55,0.79,-0.37
26008,2025-09-16T15:07:13.135,-0.43,0.79,-0.31
26009,2025-09-16T15:07:13.144,-0.31,0.79,-0.31
26010,2025-09-16T15:07:13.154,-0.24,0.73,-0.31
26011,2025-09-16T15:07:13.164,-0.12,0.73,-0.31
26012,2025-09-16T15:07:13.173,-0.18,0.73,-0.31
26013,2025-09-16T15:07:13.183,-0.24,0.79,-0.37
26014,2025-09-16T15:07:13.193,-0.31,0.79,-0.43
26015,2025-09-16T15:07:13.203,-0.49,0.79,-0.43
26016,2025-09-16T15:07:13.212,-0.61,0.79,-0.43
26017,2025-09-16T15:07:13.222,-0.55,0.79,-0.43
26018,2025-09-16T15:07:13.232,-0.55,0.85,-0.43
26019,2025-09-16T15:07:13.242,-0.43,0.85,-0.43
26020,2025-09-16T15:07:13.251,-0.31,0.79,-0.37
26021,2025-09-16T15:07:13.262,-0.18,0.79,-0.37
26022,2025-09-16T15:07:13.272,-0.06,0.79,-0.37
26023,2025-09-16T15:07:13.281,-0.18,0.85,-0.37
26024,2025-09-16T15:07:13.291,-0.18,0.79,-0.31
26025,2025-09-16T15:07:13.301,-0.31,0.79,-0.37
26026,2025-09-16T15:07:13.310,-0.61,0.85,-0.37
26027,2025-09-16T15:07:13.320,-0.55,0.85,-0.37
26028,2025-09-16T15:07:13.330,-0.61,0.85,-0.49
26029,2025-09-16T15:07:13.340,-0.55,0.92,-0.43
26030,2025-09-16T15:07:13.350,-0.24,0.79,-0.43
26031,2025-09-16T15:07:13.360,-0.43,0.79,-0.49
26032,2025-09-16T15:07:13.369,-0.43,0.79,-0.43
26033,2025-09-16T15:07:13.379,-0.18,0.73,-0.37
26034,2025-09-16T15:07:13.389,-0.18,0.73,-0.43
26035,2025-09-16T15:07:13.399,-0.43,0.79,-0.43
26036,2025-09-16T15:07:13.409,-0.12,0.79,-0.37
26037,2025-09-16T15:07:13.418,-0.24,0.85,-0.37
26038,2025-09-16T15:07:13.429,-0.37,0.92,-0.37
26039,2025-09-16T15:07:13.438,-0.24,0.92,-0.37
26040,2025-09-16T15:07:13.448,-0.43,0.85,-0.37
26041,2025-09-16T15:07:13.458,-0.61,0.85,-0.37
26042,2025-09-16T15:07:13.467,-0.49,0.79,-0.37
26043,2025-09-16T15:07:13.477,-0.43,0.73,-0.37
26044,2025-09-16T15:07:13.486,-0.31,0.79,-0.37
26045,2025-09-16T15:07:13.496,-0.06,0.73,-0.37
26046,2025-09-16T15:07:13.506,0.06,0.73,-0.24
26047,2025-09-16T15:07:13.516,0.18,0.79,-0.24
26048,2025-09-16T15:07:13.526,-0.24,0.85,-0.31
26049,2025-09-16T15:07:13.535,-0.43,0.92,-0.43
26050,2025-09-16T15:07:13.545,-0.55,0.92,-0.37
26051,2025-09-16T15:07:13.555,-0.67,0.85,-0.43
26052,2025-09-16T15:07:13.565,-0.55,0.85,-0.43
26053,2025-09-16T15:07:13.575,-0.37,0.79,-0.43
26054,2025-09-16T15:07:13.584,-0.31,0.79,-0.37
26055,2025-09-16T15:07:13.594,-0.06,0.73,-0.37
26056,2025-09-16T15:07:13.604,0.0,0.79,-0.37
26057,2025-09-16T15:07:13.614,-0.18,0.79,-0.37
26058,2025-09-16T15:07:13.624,-0.31,0.79,-0.37
26059,2025-09-16T15:07:13.634,-0.37,0.79,-0.37
26060,2025-09-16T15:07:13.643,-0.61,0.79,-0.37
26061,2025-09-16T15:07:13.653,-0.55,0.79,-0.43
26062,2025-09-16T15:07:13.663,-0.37,0.85,-0.37
26063,2025-09-16T15:07:13.673,-0.24,0.85,-0.37
26064,2025-09-16T15:07:13.683,-0.24,0.79,-0.31
26065,2025-09-16T15:07:13.693,-0.12,0.79,-0.37
26066,2025-09-16T15:07:13.702,-0.18,0.79,-0.37
26067,2025-09-16T15:07:13.712,-0.37,0.85,-0.37
26068,2025-09-16T15:07:13.722,-0.43,0.79,-0.37
26069,2025-09-16T15:07:13.732,-0.43,0.85,-0.43
26070,2025-09-16T15:07:13.741,-0.61,0.85,-0.43
26071,2025-09-16T15:07:13.751,-0.49,0.85,-0.49
26072,2025-09-16T15:07:13.761,-0.49,0.85,-0.49
26073,2025-09-16T15:07:13.771,-0.37,0.92,-0.49
26074,2025-09-16T15:07:13.780,-0.37,0.92,-0.49
26075,2025-09-16T15:07:13.790,-0.31,0.85,-0.49
26076,2025-09-16T15:07:13.800,-0.37,0.85,-0.49
26077,2025-09-16T15:07:13.810,-0.37,0.85,-0.49
26078,2025-09-16T15:07:13.820,-0.31,0.85,-0.49
26079,2025-09-16T15:07:13.829,-0.43,0.85,-0.43
26080,2025-09-16T15:07:13.839,-0.31,0.79,-0.43
26081,2025-09-16T15:07:13.849,-0.31,0.85,-0.43
26082,2025-09-16T15:07:13.859,-0.18,0.85,-0.24
26083,2025-09-16T15:07:13.868,0.18,0.85,-0.31
26084,2025-09-16T15:07:13.878,-0.49,0.79,-0.37
26085,2025-09-16T15:07:13.888,-0.43,0.85,-0.43
