sample,timestamp,gyro_x,gyro_y,gyro_z
8500,2025-09-16T15:04:21.728,2.75,-1.16,5.62
8501,2025-09-16T15:04:21.737,-3.17,3.05,2.2
8502,2025-09-16T15:04:21.747,0.18,8.0,2.5
8503,2025-09-16T15:04:21.757,0.61,13.31,2.99
8504,2025-09-16T15:04:21.766,20.26,9.22,4.46
8505,2025-09-16T15:04:21.776,26.0,-5.31,6.77
8506,2025-09-16T15:04:21.787,-0.31,-3.3,2.01
8507,2025-09-16T15:04:21.796,0.79,-1.34,6.96
8508,2025-09-16T15:04:21.805,5.8,1.65,8.91
8509,2025-09-16T15:04:21.815,23.74,3.3,13.18
8510,2025-09-16T15:04:21.825,21.61,4.27,15.32
8511,2025-09-16T15:04:21.836,16.42,2.87,14.1
8512,2025-09-16T15:04:21.845,28.14,-0.73,12.7
8513,2025-09-16T15:04:21.855,-3.17,0.67,5.98
8514,2025-09-16T15:04:21.865,-3.17,0.49,7.2
8515,2025-09-16T15:04:21.875,18.55,-0.55,10.44
8516,2025-09-16T15:04:21.884,11.23,0.12,8.12
8517,2025-09-16T15:04:21.894,3.05,0.85,5.19
8518,2025-09-16T15:04:21.905,7.81,0.73,5.07
8519,2025-09-16T15:04:21.914,2.56,0.55,3.85
8520,2025-09-16T15:04:21.923,2.62,1.04,2.93
8521,2025-09-16T15:04:21.933,3.36,1.89,2.81
8522,2025-09-16T15:04:21.943,-0.67,1.71,2.69
8523,2025-09-16T15:04:21.953,3.11,0.73,3.23
8524,2025-09-16T15:04:21.963,4.52,-0.18,3.54
8525,2025-09-16T15:04:21.972,5.0,-0.06,4.21
8526,2025-09-16T15:04:21.982,4.09,0.18,4.58
8527,2025-09-16T15:04:21.992,6.84,0.06,5.62
8528,2025-09-16T15:04:22.002,9.16,0.06,6.65
8529,2025-09-16T15:04:22.012,10.5,0.43,7.39
8530,2025-09-16T15:04:22.021,10.99,0.61,7.51
8531,2025-09-16T15:04:22.031,10.62,0.43,7.39
8532,2025-09-16T15:04:22.041,10.5,0.43,6.35
8533,2025-09-16T15:04:22.051,6.71,0.79,4.76
8534,2025-09-16T15:04:22.061,4.39,0.79,3.11
8535,2025-09-16T15:04:22.070,1.89,0.79,1.46
8536,2025-09-16T15:04:22.080,0.67,0.85,0.55
8537,2025-09-16T15:04:22.090,0.73,0.73,0.37
8538,2025-09-16T15:04:22.100,0.73,0.79,0.61
8539,2025-09-16T15:04:22.109,1.83,1.4,0.73
8540,2025-09-16T15:04:22.120,0.18,1.4,1.34
