sample,timestamp,gyro_x,gyro_y,gyro_z
21000,2025-09-16T15:06:24.104,-0.31,0.79,-0.31
21001,2025-09-16T15:06:24.113,-0.37,0.79,-0.37
21002,2025-09-16T15:06:24.123,-0.31,0.79,-0.37
21003,2025-09-16T15:06:24.133,-0.37,0.79,-0.37
21004,2025-09-16T15:06:24.143,-0.31,0.85,-0.43
21005,2025-09-16T15:06:24.153,-0.31,0.79,-0.37
21006,2025-09-16T15:06:24.163,-0.37,0.79,-0.43
21007,2025-09-16T15:06:24.172,-0.49,0.79,-0.37
21008,2025-09-16T15:06:24.182,-0.37,0.79,-0.43
21009,2025-09-16T15:06:24.192,-0.37,0.79,-0.43
21010,2025-09-16T15:06:24.202,-0.43,0.79,-0.43
21011,2025-09-16T15:06:24.212,-0.31,0.79,-0.43
21012,2025-09-16T15:06:24.221,-0.18,0.79,-0.43
21013,2025-09-16T15:06:24.232,-0.31,0.79,-0.43
21014,2025-09-16T15:06:24.242,-0.43,0.85,-0.49
21015,2025-09-16T15:06:24.251,-0.31,0.79,-0.31
21016,2025-09-16T15:06:24.261,0.06,0.79,-0.37
21017,2025-09-16T15:06:24.271,-0.67,0.85,-0.37
21018,2025-09-16T15:06:24.281,-0.18,0.79,-0.37
21019,2025-09-16T15:06:24.291,-0.24,0.79,-0.31
21020,2025-09-16T15:06:24.300,-0.24,0.79,-0.37
21021,2025-09-16T15:06:24.310,-0.49,0.79,-0.37
21022,2025-09-16T15:06:24.320,-0.31,0.79,-0.37
21023,2025-09-16T15:06:24.330,-0.61,0.79,-0.37
21024,2025-09-16T15:06:24.340,-0.43,0.79,-0.43
21025,2025-09-16T15:06:24.350,-0.43,0.85,-0.49
21026,2025-09-16T15:06:24.359,-0.43,0.85,-0.49
21027,2025-09-16T15:06:24.369,-0.12,0.79,-0.43
21028,2025-09-16T15:06:24.379,-0.12,0.79,-0.43
21029,2025-09-16T15:06:24.389,-0.37,0.79,-0.43
21030,2025-09-16T15:06:24.398,-0.18,0.79,-0.37
21031,2025-09-16T15:06:24.408,-0.18,0.79,-0.37
21032,2025-09-16T15:06:24.418,-0.49,0.85,-0.31
21033,2025-09-16T15:06:24.428,-0.43,0.85,-0.37
21034,2025-09-16T15:06:24.437,-0.31,0.85,-0.31
21035,2025-09-16T15:06:24.447,-0.49,0.85,-0.31
21036,2025-09-16T15:06:24.457,-0.37,0.79,-0.37
21037,2025-09-16T15:06:24.467,-0.31,0.79,-0.37
21038,2025-09-16T15:06:24.477,-0.43,0.79,-0.43
21039,2025-09-16T15:06:24.486,-0.37,0.79,-0.37
21040,2025-09-16T15:06:24.496,-0.31,0.79,-0.43
21041,2025-09-16T15:06:24.506,-0.43,0.79,-0.43
21042,2025-09-16T15:06:24.516,-0.37,0.79,-0.43
21043,2025-09-16T15:06:24.526,-0.18,0.79,-0.49
21044,2025-09-16T15:06:24.535,-0.31,0.85,-0.49
21045,2025-09-16T15:06:24.545,-0.43,0.85,-0.43
21046,2025-09-16T15:06:24.555,-0.24,0.85,-0.43
21047,2025-09-16T15:06:24.565,-0.37,0.85,-0.49
21048,2025-09-16T15:06:24.574,-0.49,0.85,-0.49
21049,2025-09-16T15:06:24.584,-0.37,0.79,-0.49
21050,2025-09-16T15:06:24.594,-0.43,0.79,-0.49
21051,2025-09-16T15:06:24.604,-0.49,0.79,-0.49
21052,2025-09-16T15:06:24.613,-0.37,0.79,-0.49
21053,2025-09-16T15:06:24.623,-0.31,0.79,-0.49
21054,2025-09-16T15:06:24.633,-0.31,0.79,-0.49
21055,2025-09-16T15:06:24.643,-0.24,0.79,-0.43
21056,2025-09-16T15:06:24.653,-0.24,0.79,-0.37
21057,2025-09-16T15:06:24.662,-0.37,0.79,-0.37
21058,2025-09-16T15:06:24.672,-0.31,0.79,-0.31
21059,2025-09-16T15:06:24.682,-0.31,0.79,-0.31
21060,2025-09-16T15:06:24.691,-0.31,0.79,-0.31
21061,2025-09-16T15:06:24.702,-0.31,0.79,-0.31
21062,2025-09-16T15:06:24.711,-0.24,0.79,-0.31
21063,2025-09-16T15:06:24.721,-0.31,0.79,-0.37
21064,2025-09-16T15:06:24.731,-0.37,0.79,-0.37
21065,2025-09-16T15:06:24.741,-0.37,0.79,-0.37
21066,2025-09-16T15:06:24.750,-0.43,0.79,-0.43
21067,2025-09-16T15:06:24.760,-0.49,0.79,-0.43
21068,2025-09-16T15:06:24.770,-0.43,0.79,-0.43
21069,2025-09-16T15:06:24.780,-0.37,0.79,-0.43
21070,2025-09-16T15:06:24.790,-0.37,0.79,-0.43
21071,2025-09-16T15:06:24.799,-0.31,0.79,-0.43
21072,2025-09-16T15:06:24.809,-0.24,0.79,-0.37
21073,2025-09-16T15:06:24.818,-0.24,0.79,-0.37
21074,2025-09-16T15:06:24.828,-0.18,0.85,-0.37
21075,2025-09-16T15:06:24.838,-0.18,0.85,-0.31
21076,2025-09-16T15:06:24.849,-0.31,0.85,-0.24
21077,2025-09-16T15:06:24.858,-0.37,0.79,-0.31
21078,2025-09-16T15:06:24.868,-0.43,0.85,-0.31
21079,2025-09-16T15:06:24.878,-0.49,0.79,-0.24
21080,2025-09-16T15:06:24.888,-0.43,0.79,-0.24
21081,2025-09-16T15:06:24.897,-0.49,0.79,-0.31
21082,2025-09-16T15:06:24.907,-0.31,0.79,-0.31
21083,2025-09-16T15:06:24.917,-0.55,0.79,-0.31
21084,2025-09-16T15:06:24.927,-0.37,0.79,-0.31
21085,2025-09-16T15:06:24.936,-0.24,0.79,-0.37
21086,2025-09-16T15:06:24.946,-0.31,0.73,-0.37
21087,2025-09-16T15:06:24.956,-0.24,0.79,-0.37
21088,2025-09-16T15:06:24.966,-0.12,0.73,-0.31
21089,2025-09-16T15:06:24.975,-0.18,0.73,-0.37
21090,2025-09-16T15:06:24.985,-0.06,0.73,-0.31
21091,2025-09-16T15:06:24.995,-0.24,0.73,-0.37
21092,2025-09-16T15:06:25.005,-0.31,0.79,-0.31
21093,2025-09-16T15:06:25.015,-0.31,0.79,-0.24
21094,2025-09-16T15:06:25.024,-0.31,0.79,-0.31
21095,2025-09-16T15:06:25.034,-0.67,0.79,-0.31
21096,2025-09-16T15:06:25.044,-0.49,0.79,-0.31
21097,2025-09-16T15:06:25.054,-0.55,0.85,-0.37
21098,2025-09-16T15:06:25.063,-0.55,0.79,-0.43
21099,2025-09-16T15:06:25.073,-0.31,0.85,-0.43
21100,2025-09-16T15:06:25.083,-0.18,0.79,-0.55
21101,2025-09-16T15:06:25.093,-0.31,0.79,-0.49
21102,2025-09-16T15:06:25.103,-0.18,0.73,-0.49
21103,2025-09-16T15:06:25.112,-0.24,0.73,-0.43
21104,2025-09-16T15:06:25.122,-0.43,0.79,-0.43
21105,2025-09-16T15:06:25.132,-0.37,0.79,-0.37
21106,2025-09-16T15:06:25.142,-0.18,0.73,-0.37
21107,2025-09-16T15:06:25.152,-0.24,0.73,-0.37
21108,2025-09-16T15:06:25.162,-0.24,0.79,-0.31
21109,2025-09-16T15:06:25.171,-0.18,0.79,-0.31
21110,2025-09-16T15:06:25.182,-0.24,0.73,-0.31
21111,2025-09-16T15:06:25.191,-0.18,0.73,-0.37
21112,2025-09-16T15:06:25.201,-0.24,0.73,-0.37
21113,2025-09-16T15:06:25.211,-0.55,0.79,-0.43
21114,2025-09-16T15:06:25.220,-0.85,0.85,-0.49
21115,2025-09-16T15:06:25.230,-0.92,0.85,-0.55
21116,2025-09-16T15:06:25.240,-0.85,0.85,-0.61
21117,2025-09-16T15:06:25.250,-0.67,0.85,-0.61
21118,2025-09-16T15:06:25.259,-0.31,0.79,-0.55
21119,2025-09-16T15:06:25.270,-0.06,0.79,-0.55
21120,2025-09-16T15:06:25.279,0.06,0.79,-0.55
21121,2025-09-16T15:06:25.289,0.12,0.79,-0.43
21122,2025-09-16T15:06:25.299,-0.06,0.79,-0.37
21123,2025-09-16T15:06:25.308,-0.31,0.85,-0.43
21124,2025-09-16T15:06:25.318,-0.31,0.79,-0.37
21125,2025-09-16T15:06:25.327,-0.37,0.85,-0.37
21126,2025-09-16T15:06:25.338,-0.61,0.85,-0.31
21127,2025-09-16T15:06:25.348,-0.49,0.79,-0.31
21128,2025-09-16T15:06:25.357,-0.43,0.79,-0.24
21129,2025-09-16T15:06:25.366,-0.49,0.79,-0.31
21130,2025-09-16T15:06:25.378,-0.49,0.85,-0.31
21131,2025-09-16T15:06:25.387,-0.24,0.79,-0.37
21132,2025-09-16T15:06:25.397,-0.31,0.85,-0.43
21133,2025-09-16T15:06:25.407,-0.49,0.92,-0.49
21134,2025-09-16T15:06:25.417,-0.37,0.85,-0.49
21135,2025-09-16T15:06:25.426,-0.31,0.85,-0.49
21136,2025-09-16T15:06:25.436,-0.55,0.79,-0.55
21137,2025-09-16T15:06:25.446,-0.61,0.79,-0.55
21138,2025-09-16T15:06:25.455,-0.55,0.79,-0.49
21139,2025-09-16T15:06:25.465,-0.43,0.85,-0.43
21140,2025-09-16T15:06:25.475,-0.18,0.79,-0.31
21141,2025-09-16T15:06:25.484,0.06,0.85,-0.31
21142,2025-09-16T15:06:25.494,0.12,0.92,-0.31
21143,2025-09-16T15:06:25.504,-0.06,0.92,-0.31
21144,2025-09-16T15:06:25.514,-0.37,0.92,-0.31
21145,2025-09-16T15:06:25.524,-0.49,0.85,-0.31
21146,2025-09-16T15:06:25.534,-0.73,0.85,-0.37
21147,2025-09-16T15:06:25.543,-0.73,0.79,-0.37
21148,2025-09-16T15:06:25.553,-0.55,0.79,-0.43
21149,2025-09-16T15:06:25.563,-0.37,0.79,-0.43
21150,2025-09-16T15:06:25.573,-0.31,0.79,-0.43
21151,2025-09-16T15:06:25.583,-0.06,0.79,-0.43
21152,2025-09-16T15:06:25.592,-0.06,0.79,-0.43
21153,2025-09-16T15:06:25.602,-0.31,0.85,-0.49
21154,2025-09-16T15:06:25.612,-0.43,0.85,-0.49
21155,2025-09-16T15:06:25.622,-0.55,0.85,-0.49
21156,2025-09-16T15:06:25.631,-0.55,0.85,-0.43
21157,2025-09-16T15:06:25.641,-0.49,0.79,-0.43
21158,2025-09-16T15:06:25.651,-0.43,0.79,-0.43
21159,2025-09-16T15:06:25.660,-0.37,0.79,-0.43
21160,2025-09-16T15:06:25.670,-0.06,0.79,-0.37
21161,2025-09-16T15:06:25.681,0.06,0.73,-0.37
21162,2025-09-16T15:06:25.690,0.06,0.73,-0.37
21163,2025-09-16T15:06:25.700,-0.06,0.73,-0.37
21164,2025-09-16T15:06:25.710,-0.24,0.79,-0.43
21165,2025-09-16T15:06:25.719,-0.55,0.85,-0.43
21166,2025-09-16T15:06:25.729,-0.79,0.92,-0.49
21167,2025-09-16T15:06:25.739,-0.61,0.92,-0.49
21168,2025-09-16T15:06:25.749,-0.43,0.85,-0.49
21169,2025-09-16T15:06:25.758,-0.37,0.92,-0.49
21170,2025-09-16T15:06:25.768,-0.31,0.85,-0.49
21171,2025-09-16T15:06:25.778,-0.43,0.85,-0.49
21172,2025-09-16T15:06:25.788,-0.37,0.85,-0.49
21173,2025-09-16T15:06:25.798,-0.37,0.85,-0.49
21174,2025-09-16T15:06:25.808,-0.43,0.85,-0.49
21175,2025-09-16T15:06:25.818,-0.49,0.98,-0.49
21176,2025-09-16T15:06:25.827,-0.43,0.98,-0.49
21177,2025-09-16T15:06:25.837,-0.31,0.92,-0.49
21178,2025-09-16T15:06:25.847,-0.31,0.92,-0.43
21179,2025-09-16T15:06:25.856,-0.31,0.92,-0.43
21180,2025-09-16T15:06:25.867,-0.24,0.85,-0.43
21181,2025-09-16T15:06:25.876,-0.31,0.85,-0.43
21182,2025-09-16T15:06:25.886,-0.24,0.85,-0.43
21183,2025-09-16T15:06:25.896,-0.31,0.85,-0.43
21184,2025-09-16T15:06:25.905,-0.31,0.85,-0.43
21185,2025-09-16T15:06:25.916,-0.43,0.85,-0.43
21186,2025-09-16T15:06:25.925,-0.37,0.85,-0.43
21187,2025-09-16T15:06:25.935,-0.55,0.92,-0.43
21188,2025-09-16T15:06:25.945,-0.73,0.92,-0.49
21189,2025-09-16T15:06:25.954,-0.67,0.92,-0.43
21190,2025-09-16T15:06:25.965,-0.61,0.92,-0.43
21191,2025-09-16T15:06:25.974,-0.49,0.85,-0.43
21192,2025-09-16T15:06:25.983,-0.12,0.85,-0.37
21193,2025-09-16T15:06:25.993,0.0,0.79,-0.37
21194,2025-09-16T15:06:26.004,0.06,0.79,-0.37
21195,2025-09-16T15:06:26.013,0.0,0.73,-0.37
21196,2025-09-16T15:06:26.023,-0.31,0.73,-0.43
21197,2025-09-16T15:06:26.032,-0.43,0.79,-0.43
21198,2025-09-16T15:06:26.042,-0.49,0.79,-0.37
21199,2025-09-16T15:06:26.052,-0.85,0.85,-0.43
21200,2025-09-16T15:06:26.062,-0.67,0.92,-0.43
21201,2025-09-16T15:06:26.072,-0.43,0.85,-0.37
21202,2025-09-16T15:06:26.082,-0.43,0.85,-0.43
21203,2025-09-16T15:06:26.091,-0.31,0.85,-0.31
21204,2025-09-16T15:06:26.101,-0.12,0.79,-0.31
21205,2025-09-16T15:06:26.111,0.0,0.79,-0.31
21206,2025-09-16T15:06:26.121,-0.12,0.79,-0.31
21207,2025-09-16T15:06:26.131,0.0,0.73,-0.24
21208,2025-09-16T15:06:26.140,-0.18,0.73,-0.31
21209,2025-09-16T15:06:26.151,-0.55,0.79,-0.31
21210,2025-09-16T15:06:26.160,-0.43,0.79,-0.31
21211,2025-09-16T15:06:26.170,-0.61,0.79,-0.37
21212,2025-09-16T15:06:26.180,-0.73,0.85,-0.43
21213,2025-09-16T15:06:26.189,-0.37,0.79,-0.43
21214,2025-09-16T15:06:26.200,-0.37,0.79,-0.49
21215,2025-09-16T15:06:26.209,-0.49,0.85,-0.49
21216,2025-09-16T15:06:26.219,-0.31,0.79,-0.49
21217,2025-09-16T15:06:26.229,-0.24,0.79,-0.49
21218,2025-09-16T15:06:26.238,-0.37,0.79,-0.43
21219,2025-09-16T15:06:26.248,-0.24,0.79,-0.43
21220,2025-09-16T15:06:26.258,-0.31,0.79,-0.43
21221,2025-09-16T15:06:26.267,-0.37,0.85,-0.37
21222,2025-09-16T15:06:26.277,-0.37,0.85,-0.31
