sample,timestamp,gyro_x,gyro_y,gyro_z
10500,2025-09-16T15:04:41.357,11.54,0.61,11.6
10501,2025-09-16T15:04:41.358,15.93,0.79,13.85
10502,2025-09-16T15:04:41.358,18.62,0.98,16.24
10503,2025-09-16T15:04:41.359,25.76,0.98,20.08
10504,2025-09-16T15:04:41.359,31.74,0.98,24.9
10505,2025-09-16T15:04:41.359,36.87,1.46,27.71
10506,2025-09-16T15:04:41.367,24.6,0.37,23.5
10507,2025-09-16T15:04:41.377,24.29,0.85,17.76
10508,2025-09-16T15:04:41.386,5.92,1.04,8.61
10509,2025-09-16T15:04:41.396,-3.36,1.4,0.12
10510,2025-09-16T15:04:41.407,-1.59,1.46,-4.39
10511,2025-09-16T15:04:41.415,-1.1,1.53,-7.02
10512,2025-09-16T15:04:41.425,-0.61,1.28,-9.77
10513,2025-09-16T15:04:41.435,-1.16,1.22,-6.71
10514,2025-09-16T15:04:41.445,-0.55,0.67,-3.42
10515,2025-09-16T15:04:41.455,-0.43,0.49,-1.4
10516,2025-09-16T15:04:41.465,-0.12,0.49,0.55
10517,2025-09-16T15:04:41.474,-0.12,0.55,1.46
10518,2025-09-16T15:04:41.484,0.0,0.73,1.4
10519,2025-09-16T15:04:41.495,-0.49,1.1,0.55
10520,2025-09-16T15:04:41.504,-2.87,0.98,0.18
10521,2025-09-16T15:04:41.514,-3.42,0.79,-0.49
10522,2025-09-16T15:04:41.524,-1.77,1.1,-2.2
10523,2025-09-16T15:04:41.533,-1.77,1.22,-3.6
10524,2025-09-16T15:04:41.543,-1.28,0.85,-5.0
10525,2025-09-16T15:04:41.552,-1.16,1.1,-6.1
10526,2025-09-16T15:04:41.562,-4.09,0.98,-5.74
10527,2025-09-16T15:04:41.572,-3.36,0.92,-5.74
10528,2025-09-16T15:04:41.582,-7.63,0.55,-6.35
10529,2025-09-16T15:04:41.591,-10.25,0.43,-7.02
10530,2025-09-16T15:04:41.601,-8.85,0.31,-7.08
10531,2025-09-16T15:04:41.611,-6.1,0.43,-6.47
10532,2025-09-16T15:04:41.620,-5.62,0.61,-5.37
10533,2025-09-16T15:04:41.630,-3.91,0.79,-3.78
10534,2025-09-16T15:04:41.640,-1.83,0.85,-1.59
10535,2025-09-16T15:04:41.651,-0.37,0.92,0.92
10536,2025-09-16T15:04:41.660,-0.06,0.92,3.48
10537,2025-09-16T15:04:41.670,0.0,0.85,5.37
10538,2025-09-16T15:04:41.680,3.97,0.79,6.77
10539,2025-09-16T15:04:41.689,8.48,0.73,8.18
10540,2025-09-16T15:04:41.699,4.64,0.31,8.42
10541,2025-09-16T15:04:41.709,5.25,0.18,7.87
10542,2025-09-16T15:04:41.719,8.06,0.37,7.14
10543,2025-09-16T15:04:41.729,4.82,0.55,5.68
10544,2025-09-16T15:04:41.738,4.33,0.67,4.21
10545,2025-09-16T15:04:41.748,2.87,0.92,2.75
10546,2025-09-16T15:04:41.758,3.66,0.98,2.01
10547,2025-09-16T15:04:41.768,2.69,1.1,1.59
10548,2025-09-16T15:04:41.778,3.66,1.1,1.65
10549,2025-09-16T15:04:41.788,8.3,1.34,2.69
