sample,timestamp,gyro_x,gyro_y,gyro_z
32000,2025-09-16T15:08:11.797,0.06,0.67,0.37
32001,2025-09-16T15:08:11.808,0.12,0.73,0.85
32002,2025-09-16T15:08:11.818,0.18,0.85,1.1
32003,2025-09-16T15:08:11.828,0.12,0.85,1.16
32004,2025-09-16T15:08:11.838,-0.24,0.85,1.1
32005,2025-09-16T15:08:11.847,-0.18,0.79,0.98
32006,2025-09-16T15:08:11.857,-0.12,0.73,0.92
32007,2025-09-16T15:08:11.867,0.12,0.61,0.67
32008,2025-09-16T15:08:11.877,-0.24,0.61,0.31
32009,2025-09-16T15:08:11.886,-0.06,0.61,-0.06
32010,2025-09-16T15:08:11.896,-0.12,0.67,-0.37
32011,2025-09-16T15:08:11.905,-0.12,0.67,-0.67
32012,2025-09-16T15:08:11.915,-0.79,0.85,-1.16
32013,2025-09-16T15:08:11.925,-1.1,0.92,-1.46
32014,2025-09-16T15:08:11.935,-1.1,0.98,-1.59
32015,2025-09-16T15:08:11.944,-1.1,0.98,-1.59
32016,2025-09-16T15:08:11.954,-1.22,0.98,-1.65
32017,2025-09-16T15:08:11.964,-1.28,0.92,-1.59
32018,2025-09-16T15:08:11.974,-0.92,0.79,-1.28
32019,2025-09-16T15:08:11.984,-0.55,0.67,-0.92
32020,2025-09-16T15:08:11.993,-0.31,0.61,-0.49
32021,2025-09-16T15:08:12.004,-0.24,0.61,-0.12
32022,2025-09-16T15:08:12.013,-0.24,0.61,0.24
32023,2025-09-16T15:08:12.024,-0.12,0.67,0.55
32024,2025-09-16T15:08:12.033,0.06,0.79,0.79
32025,2025-09-16T15:08:12.043,0.31,0.92,0.85
32026,2025-09-16T15:08:12.052,0.31,1.04,0.79
32027,2025-09-16T15:08:12.063,0.67,1.04,0.61
32028,2025-09-16T15:08:12.072,0.49,1.04,0.24
32029,2025-09-16T15:08:12.082,0.18,0.98,-0.31
32030,2025-09-16T15:08:12.092,-0.31,0.85,-0.73
32031,2025-09-16T15:08:12.102,-0.55,0.79,-0.92
32032,2025-09-16T15:08:12.112,-0.92,0.67,-1.16
32033,2025-09-16T15:08:12.121,-1.1,0.61,-1.16
32034,2025-09-16T15:08:12.131,-0.98,0.61,-1.04
32035,2025-09-16T15:08:12.141,-0.79,0.67,-0.79
32036,2025-09-16T15:08:12.151,-0.55,0.73,-0.55
32037,2025-09-16T15:08:12.160,-0.37,0.85,-0.31
32038,2025-09-16T15:08:12.170,-0.24,0.98,-0.18
32039,2025-09-16T15:08:12.180,-0.24,0.98,-0.12
32040,2025-09-16T15:08:12.189,-0.37,0.98,-0.12
32041,2025-09-16T15:08:12.199,-0.49,0.98,-0.12
32042,2025-09-16T15:08:12.209,-0.61,0.85,-0.18
32043,2025-09-16T15:08:12.219,-0.55,0.79,-0.24
32044,2025-09-16T15:08:12.229,-0.37,0.67,-0.18
32045,2025-09-16T15:08:12.238,-0.24,0.61,-0.24
32046,2025-09-16T15:08:12.248,-0.12,0.67,-0.37
32047,2025-09-16T15:08:12.258,-0.06,0.73,-0.49
32048,2025-09-16T15:08:12.268,-0.24,0.79,-0.67
32049,2025-09-16T15:08:12.278,-0.43,0.92,-0.73
32050,2025-09-16T15:08:12.287,0.24,1.04,-0.18
32051,2025-09-16T15:08:12.297,0.43,0.92,-0.37
32052,2025-09-16T15:08:12.308,-2.38,1.1,-1.53
32053,2025-09-16T15:08:12.317,-0.43,0.98,-0.61
32054,2025-09-16T15:08:12.327,0.98,0.73,0.0
32055,2025-09-16T15:08:12.337,-0.98,0.67,-0.55
32056,2025-09-16T15:08:12.346,-1.22,0.67,-1.1
32057,2025-09-16T15:08:12.356,-0.06,0.55,-0.12
32058,2025-09-16T15:08:12.366,-0.12,0.61,-0.18
32059,2025-09-16T15:08:12.376,-1.28,0.73,-0.06
32060,2025-09-16T15:08:12.386,0.43,0.73,0.31
32061,2025-09-16T15:08:12.395,-0.85,0.92,0.37
32062,2025-09-16T15:08:12.405,0.49,0.98,0.43
32063,2025-09-16T15:08:12.415,-0.37,1.04,0.24
32064,2025-09-16T15:08:12.424,0.67,0.98,0.18
32065,2025-09-16T15:08:12.434,0.06,0.92,-0.24
32066,2025-09-16T15:08:12.444,-0.06,0.85,-0.67
32067,2025-09-16T15:08:12.454,-0.55,0.73,-1.1
32068,2025-09-16T15:08:12.464,-0.67,0.67,-1.04
32069,2025-09-16T15:08:12.473,-0.67,0.61,-1.22
32070,2025-09-16T15:08:12.483,-1.89,0.67,-1.28
32071,2025-09-16T15:08:12.493,-0.43,0.61,-0.73
32072,2025-09-16T15:08:12.503,-0.73,0.79,-0.55
32073,2025-09-16T15:08:12.513,-0.79,0.85,-0.43
32074,2025-09-16T15:08:12.522,-0.18,0.98,0.0
