sample,timestamp,gyro_x,gyro_y,gyro_z
19000,2025-09-16T15:06:04.524,-0.24,0.73,-0.31
19001,2025-09-16T15:06:04.534,-0.43,0.79,-0.37
19002,2025-09-16T15:06:04.543,-0.43,0.79,-0.37
19003,2025-09-16T15:06:04.553,-0.43,0.79,-0.43
19004,2025-09-16T15:06:04.563,-0.43,0.73,-0.49
19005,2025-09-16T15:06:04.573,-0.43,0.73,-0.55
19006,2025-09-16T15:06:04.583,-0.18,0.73,-0.49
19007,2025-09-16T15:06:04.592,-0.24,0.73,-0.55
19008,2025-09-16T15:06:04.602,-0.37,0.73,-0.55
19009,2025-09-16T15:06:04.612,-0.43,0.73,-0.61
19010,2025-09-16T15:06:04.621,-0.37,0.73,-0.61
19011,2025-09-16T15:06:04.632,-0.49,0.79,-0.67
19012,2025-09-16T15:06:04.641,-0.49,0.79,-0.67
19013,2025-09-16T15:06:04.651,-0.49,0.85,-0.67
19014,2025-09-16T15:06:04.661,-0.43,0.79,-0.61
19015,2025-09-16T15:06:04.670,-0.49,0.79,-0.55
19016,2025-09-16T15:06:04.680,-0.49,0.79,-0.61
19017,2025-09-16T15:06:04.690,-0.43,0.73,-0.55
19018,2025-09-16T15:06:04.700,-0.43,0.73,-0.55
19019,2025-09-16T15:06:04.709,-0.37,0.67,-0.43
19020,2025-09-16T15:06:04.720,-0.37,0.73,-0.49
19021,2025-09-16T15:06:04.729,-0.37,0.67,-0.49
19022,2025-09-16T15:06:04.739,-0.37,0.73,-0.61
19023,2025-09-16T15:06:04.749,-0.31,0.85,-0.55
19024,2025-09-16T15:06:04.759,-0.55,0.98,-0.79
19025,2025-09-16T15:06:04.769,-0.37,0.98,-0.79
19026,2025-09-16T15:06:04.779,-0.73,1.04,-1.16
19027,2025-09-16T15:06:04.788,-0.61,1.04,-1.1
19028,2025-09-16T15:06:04.798,-0.79,1.04,-1.16
19029,2025-09-16T15:06:04.808,-0.73,1.04,-1.16
19030,2025-09-16T15:06:04.818,-0.85,0.98,-1.28
19031,2025-09-16T15:06:04.828,-0.67,0.85,-1.1
19032,2025-09-16T15:06:04.838,-0.61,0.79,-0.85
19033,2025-09-16T15:06:04.847,-0.55,0.79,-0.67
19034,2025-09-16T15:06:04.857,-0.49,0.73,-0.43
19035,2025-09-16T15:06:04.867,-0.24,0.79,-0.12
19036,2025-09-16T15:06:04.876,-0.12,0.79,0.06
19037,2025-09-16T15:06:04.886,-0.12,0.79,0.18
19038,2025-09-16T15:06:04.896,-0.06,0.79,0.24
19039,2025-09-16T15:06:04.906,0.06,0.79,0.24
19040,2025-09-16T15:06:04.916,0.06,0.85,0.18
19041,2025-09-16T15:06:04.925,0.0,0.79,0.0
19042,2025-09-16T15:06:04.935,-0.06,0.73,-0.18
19043,2025-09-16T15:06:04.945,-0.18,0.67,-0.37
19044,2025-09-16T15:06:04.955,-0.37,0.73,-0.61
19045,2025-09-16T15:06:04.964,-0.55,0.73,-0.85
19046,2025-09-16T15:06:04.973,-0.61,0.79,-0.98
19047,2025-09-16T15:06:04.984,-0.73,0.85,-1.04
19048,2025-09-16T15:06:04.994,-0.79,0.85,-0.98
19049,2025-09-16T15:06:05.003,-0.73,0.92,-0.85
19050,2025-09-16T15:06:05.012,-0.61,0.98,-0.73
19051,2025-09-16T15:06:05.023,-0.55,0.98,-0.55
19052,2025-09-16T15:06:05.033,-0.43,0.92,-0.37
19053,2025-09-16T15:06:05.043,-0.31,0.92,-0.24
19054,2025-09-16T15:06:05.053,-0.12,0.79,-0.06
19055,2025-09-16T15:06:05.063,-0.06,0.79,-0.06
19056,2025-09-16T15:06:05.072,0.0,0.67,0.0
19057,2025-09-16T15:06:05.082,0.06,0.67,0.0
19058,2025-09-16T15:06:05.092,0.0,0.67,-0.12
19059,2025-09-16T15:06:05.102,-0.06,0.67,-0.18
19060,2025-09-16T15:06:05.112,-0.24,0.73,-0.37
19061,2025-09-16T15:06:05.121,-0.37,0.79,-0.49
19062,2025-09-16T15:06:05.131,-0.49,0.85,-0.55
19063,2025-09-16T15:06:05.141,-0.61,0.92,-0.67
19064,2025-09-16T15:06:05.150,-0.73,0.92,-0.73
19065,2025-09-16T15:06:05.160,-0.67,0.92,-0.73
19066,2025-09-16T15:06:05.170,-0.67,0.92,-0.73
19067,2025-09-16T15:06:05.180,-0.55,0.85,-0.67
19068,2025-09-16T15:06:05.189,-0.43,0.79,-0.49
19069,2025-09-16T15:06:05.199,-0.31,0.79,-0.43
19070,2025-09-16T15:06:05.209,-0.24,0.79,-0.24
19071,2025-09-16T15:06:05.219,-0.12,0.79,-0.18
19072,2025-09-16T15:06:05.229,-0.12,0.79,-0.12
19073,2025-09-16T15:06:05.239,-0.06,0.79,-0.06
19074,2025-09-16T15:06:05.248,-0.06,0.79,-0.06
19075,2025-09-16T15:06:05.258,-0.12,0.79,-0.12
19076,2025-09-16T15:06:05.268,-0.24,0.85,-0.24
19077,2025-09-16T15:06:05.278,-0.31,0.85,-0.31
19078,2025-09-16T15:06:05.288,-0.37,0.85,-0.49
19079,2025-09-16T15:06:05.297,-0.49,0.79,-0.55
19080,2025-09-16T15:06:05.306,-0.55,0.73,-0.61
19081,2025-09-16T15:06:05.317,-0.61,0.79,-0.67
19082,2025-09-16T15:06:05.327,-0.61,0.79,-0.67
19083,2025-09-16T15:06:05.337,-0.55,0.79,-0.67
19084,2025-09-16T15:06:05.346,-0.49,0.79,-0.55
19085,2025-09-16T15:06:05.356,-0.37,0.79,-0.49
19086,2025-09-16T15:06:05.366,-0.37,0.79,-0.37
19087,2025-09-16T15:06:05.376,-0.18,0.85,-0.31
19088,2025-09-16T15:06:05.385,-0.18,0.85,-0.24
19089,2025-09-16T15:06:05.395,-0.12,0.85,-0.18
19090,2025-09-16T15:06:05.405,-0.12,0.79,-0.12
19091,2025-09-16T15:06:05.415,-0.12,0.79,-0.12
19092,2025-09-16T15:06:05.424,-0.24,0.79,-0.18
19093,2025-09-16T15:06:05.434,-0.31,0.79,-0.24
19094,2025-09-16T15:06:05.444,-0.37,0.79,-0.37
19095,2025-09-16T15:06:05.454,-0.43,0.79,-0.43
19096,2025-09-16T15:06:05.463,-0.49,0.79,-0.55
19097,2025-09-16T15:06:05.473,-0.49,0.79,-0.55
19098,2025-09-16T15:06:05.483,-0.55,0.79,-0.55
19099,2025-09-16T15:06:05.493,-0.55,0.79,-0.61
19100,2025-09-16T15:06:05.502,-0.49,0.85,-0.55
19101,2025-09-16T15:06:05.512,-0.43,0.79,-0.43
19102,2025-09-16T15:06:05.522,-0.31,0.79,-0.31
19103,2025-09-16T15:06:05.531,-0.18,0.79,-0.12
19104,2025-09-16T15:06:05.541,-0.06,0.73,-0.06
19105,2025-09-16T15:06:05.551,0.0,0.73,0.06
19106,2025-09-16T15:06:05.561,0.06,0.67,0.12
19107,2025-09-16T15:06:05.571,0.0,0.73,0.18
19108,2025-09-16T15:06:05.580,0.0,0.67,0.18
19109,2025-09-16T15:06:05.590,-0.24,0.73,0.0
19110,2025-09-16T15:06:05.600,-0.18,0.67,0.0
19111,2025-09-16T15:06:05.610,-0.37,0.73,-0.18
19112,2025-09-16T15:06:05.621,-0.31,0.73,-0.18
19113,2025-09-16T15:06:05.630,-0.31,0.73,-0.37
19114,2025-09-16T15:06:05.640,-0.31,0.73,-0.31
19115,2025-09-16T15:06:05.650,-0.37,0.67,-0.37
19116,2025-09-16T15:06:05.659,-0.18,0.61,-0.18
19117,2025-09-16T15:06:05.669,-0.31,0.61,-0.18
19118,2025-09-16T15:06:05.679,-0.18,0.61,0.06
19119,2025-09-16T15:06:05.689,0.0,0.55,0.31
19120,2025-09-16T15:06:05.698,0.12,0.55,0.55
19121,2025-09-16T15:06:05.708,0.37,0.61,0.55
19122,2025-09-16T15:06:05.718,-0.18,0.79,0.49
19123,2025-09-16T15:06:05.728,2.38,0.55,1.28
19124,2025-09-16T15:06:05.738,-1.46,1.22,-0.67
19125,2025-09-16T15:06:05.747,0.55,1.04,0.55
19126,2025-09-16T15:06:05.757,-0.37,1.34,-0.55
19127,2025-09-16T15:06:05.767,-0.43,1.1,-0.24
19128,2025-09-16T15:06:05.777,-1.1,1.22,-1.53
19129,2025-09-16T15:06:05.787,-0.55,0.85,-0.85
19130,2025-09-16T15:06:05.796,-1.4,0.85,-1.4
19131,2025-09-16T15:06:05.806,-0.67,0.55,-0.85
19132,2025-09-16T15:06:05.817,-0.92,0.73,-1.16
19133,2025-09-16T15:06:05.826,-0.24,0.73,-0.55
19134,2025-09-16T15:06:05.836,-0.43,0.85,-0.31
19135,2025-09-16T15:06:05.845,0.12,0.92,0.12
19136,2025-09-16T15:06:05.856,-0.49,1.04,0.24
19137,2025-09-16T15:06:05.865,0.24,1.04,0.55
19138,2025-09-16T15:06:05.875,-0.43,1.1,0.55
19139,2025-09-16T15:06:05.884,0.12,0.98,0.55
19140,2025-09-16T15:06:05.895,0.12,0.92,0.37
19141,2025-09-16T15:06:05.905,0.37,0.85,0.18
19142,2025-09-16T15:06:05.914,0.0,0.73,-0.24
19143,2025-09-16T15:06:05.924,0.06,0.67,-0.37
19144,2025-09-16T15:06:05.934,-0.37,0.73,-0.73
19145,2025-09-16T15:06:05.943,-0.49,0.73,-0.92
19146,2025-09-16T15:06:05.953,-0.85,0.85,-1.04
19147,2025-09-16T15:06:05.963,-0.92,0.98,-1.04
19148,2025-09-16T15:06:05.973,-0.98,1.04,-1.04
19149,2025-09-16T15:06:05.983,-0.85,1.1,-0.79
19150,2025-09-16T15:06:05.992,-0.79,1.1,-0.61
19151,2025-09-16T15:06:06.002,-0.55,1.1,-0.37
19152,2025-09-16T15:06:06.012,-0.43,1.1,-0.18
19153,2025-09-16T15:06:06.021,-0.12,0.92,0.0
19154,2025-09-16T15:06:06.032,-0.06,0.85,0.06
19155,2025-09-16T15:06:06.041,0.0,0.73,0.12
19156,2025-09-16T15:06:06.051,0.0,0.67,0.12
19157,2025-09-16T15:06:06.061,0.12,0.67,0.12
19158,2025-09-16T15:06:06.070,0.0,0.73,-0.06
19159,2025-09-16T15:06:06.080,0.06,0.79,-0.12
19160,2025-09-16T15:06:06.090,-0.12,0.85,-0.24
19161,2025-09-16T15:06:06.100,-0.24,0.92,-0.37
19162,2025-09-16T15:06:06.110,-0.55,0.98,-0.49
19163,2025-09-16T15:06:06.119,-0.61,0.98,-0.55
19164,2025-09-16T15:06:06.129,-0.73,0.92,-0.55
19165,2025-09-16T15:06:06.139,-0.67,0.85,-0.49
19166,2025-09-16T15:06:06.149,-0.73,0.79,-0.43
19167,2025-09-16T15:06:06.159,-0.49,0.79,-0.37
19168,2025-09-16T15:06:06.169,-0.37,0.73,-0.24
19169,2025-09-16T15:06:06.179,-0.24,0.73,-0.18
19170,2025-09-16T15:06:06.188,-0.06,0.79,-0.18
19171,2025-09-16T15:06:06.198,0.0,0.79,-0.12
19172,2025-09-16T15:06:06.208,0.0,0.85,-0.12
19173,2025-09-16T15:06:06.218,-0.06,0.85,-0.18
19174,2025-09-16T15:06:06.227,-0.18,0.92,-0.37
19175,2025-09-16T15:06:06.237,-0.24,0.92,-0.43
19176,2025-09-16T15:06:06.247,-0.31,0.85,-0.49
19177,2025-09-16T15:06:06.260,-0.43,0.85,-0.61
19178,2025-09-16T15:06:06.267,-0.55,0.85,-0.67
19179,2025-09-16T15:06:06.276,-0.61,0.79,-0.73
19180,2025-09-16T15:06:06.287,-0.67,0.73,-0.73
19181,2025-09-16T15:06:06.295,-0.67,0.67,-0.67
19182,2025-09-16T15:06:06.305,-0.61,0.67,-0.55
19183,2025-09-16T15:06:06.315,-0.55,0.61,-0.49
19184,2025-09-16T15:06:06.325,-0.37,0.61,-0.37
19185,2025-09-16T15:06:06.335,-0.31,0.61,-0.31
19186,2025-09-16T15:06:06.344,-0.18,0.61,-0.12
19187,2025-09-16T15:06:06.354,0.06,0.61,0.0
19188,2025-09-16T15:06:06.364,0.06,0.61,-0.06
19189,2025-09-16T15:06:06.374,0.0,0.55,-0.06
19190,2025-09-16T15:06:06.383,-0.06,0.55,-0.12
19191,2025-09-16T15:06:06.393,-0.12,0.55,-0.18
19192,2025-09-16T15:06:06.403,-0.18,0.55,-0.24
19193,2025-09-16T15:06:06.414,-0.31,0.61,-0.37
19194,2025-09-16T15:06:06.423,-0.43,0.67,-0.49
19195,2025-09-16T15:06:06.433,-0.43,0.67,-0.49
19196,2025-09-16T15:06:06.443,-0.67,0.73,-0.61
19197,2025-09-16T15:06:06.453,-0.55,0.73,-0.49
